" The customer doesn\'t exist in the system anymore"," Este cliente foi excluído do sistema"
" [deleted]"," [excluir]"
" and "," e "
"%s (Default Template from Locale)","%s (Template Padrão do Idioma)"
"%s cache type(s) disabled.","%s tipo(s) de cache desligado."
"%s cache type(s) enabled.","%s tipo(s) de cache ligado."
"%s cache type(s) refreshed.","%s tipo(s) de cache atualizados."
"(Absolute path or Relative to Magento install root, ex. var/export)","(Caminho Relativo ou Absoluto para instalação do Magento, ex. var/export)"
"(For US 2-letter state names)","(Para USA 2-letras no nome do estado)"
"(If left empty will be auto-generated)","(Se deixar em branco será gerado automaticamente)"
"(Leave empty for first spreadsheet)","(Deixe vazio para primeiro planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão adicionados/atualizados para loja se a coluna 'store'(loja) estiver em branco ou for esquecida no arquivo de importação.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(Starting with)","(Inicie com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Quando mapeado, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você precisa aumentar o limite de memoria do php 'memory_limit' antes de alterar este valor)"
"(\\t for tab)","(\\t para tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - Se a indexação estiver em execução, ela será interrompida e uma nova indexação será iniciada"
"- Click on any of the time parts to increase it","- Clique sobre ela a qualquer momento para aumentá-la"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse em qualquer um dos botões acima para selecionar rapidamente."
"- Use the %s buttons to select month","- Use o %s botão para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use o %s, %s botão para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuir"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar rapidamente."
"-- Please Select --","Selecione..."
"-- Please select --","Selecione..."
"-- Please select a category --","Selecione..."
"--Please Select--","Selecione..."
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","Últimos 2 Anos"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Erro</h1><p>Página não encontrada.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Uma nova senha foi enviada para seu endereço de email. Verifique sua caixa de email e clique em Voltar para tentar Entrar novamente."
"Abandoned Carts","Carrinho de Compras Abandonados"
"About the calendar","Sobre o calendário"
"Access Denied.","Acesso Negado."
"Access Deny","Negar Acesso"
"Access denied","Acesso negado"
"Access denied.","Acesso negado."
"Account Created in:","Loja:"
"Account Created on (%s):","Conta Criada em (%s):"
"Account Created on:","Cadastro:"
"Account Information","Informações de Conta"
"Account status","Status da Conta"
"Account successfully saved","Salvo com sucesso"
"Action","Ação"
"Actions","Ações"
"Actions XML","Bloco XML"
"Active","Ativo"
"Add","Adicionar"
"Add Author","Adicionar Autor"
"Add Contents Path","Adicionar Caminho do Conteúdo"
"Add Exception","Adicionar Exceção"
"Add Field Mapping","Adicionar Campo"
"Add Field with URL:","Adicionar Campo com URL:"
"Add New Image","Adicionar Nova Imagem"
"Add New Profile","Criar Modelo de Dados"
"Add New Role","Criar Nível de Acesso"
"Add New Template","Criar Modelo"
"Add New URL Rewrite","Nova Reescrita de URL"
"Add New User","Criar Usuário"
"Add New Variable","Criar Variável"
"Add New osCommerce Profile","Adicionar Novo Perfil osCommerce"
"Add PHP Extension dependency","Adicionar dependência de extensão PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Add URL Rewrite","Criar URL"
"Add URL Rewrite for a Category","Adicionar Reescrita de URL para uma Categoria"
"Add URL Rewrite for a Product","Adicionar Reescrita de URL para um Produto"
"Add after","Adicionar depois"
"Add new Role","Adicionar nova Regra"
"Additional Cache Management","Gerenciamento de Cache Adicional"
"Address Type:","Tipo de Endereço:"
"Admin","Admin"
"Advanced Admin Section","Seção Avançada de Admin"
"Advanced Profiles","Modelo Personalizado"
"Advanced Section","Seções Avançadas"
"All","Todos"
"All Allowed Countries","Todos os Países"
"All Cache","Todos os Cache"
"All Files","Todos os Arquivos"
"All Reviews","Todos os Comentários"
"All Store Views","Todas as Lojas"
"All Tags","Todas as Tags"
"All Websites","Todos os Websites"
"All countries","Todos os países"
"All fields","Todos os campos"
"All possible rates were fetched, click on ""Save"" to apply","Todas as tarifas possíveis foram encontradas, clique em ""Salvar"" para enviar"
"All rates were fetched, click on ""Save"" to apply","Todas as tarifas foram encontradas, clique em ""Salvar"" para enviar"
"All valid rates successfully saved","Todos valores cotados foram salvos"
"Amounts","Acumulado"
"Any","Ambos"
"Any Attribute Set","Qualquer Conjunto de Atributos"
"Any Group","Qualquer Grupo"
"Any Status","Qualquer Status"
"Any Store","Qualquer Loja"
"Any Type","Qualquer Tipo"
"Any Visibility","Qualquer Visibilidade"
"Api Key","Senha de Conexão"
"Api Key Confirmation","Confirmação de Senha"
"Archive file name:","Nome do Arquivo:"
"Are you sure that you want to delete this template?","Tem certeza que deseja excluir este template?"
"Are you sure that you want to strip tags?","Tem certeza que deseja retirar a tag?"
"Are you sure you want to do this?","Deseja realmente excluir?"
"Area","Área"
"Assigned","Atribuído"
"Associated Tags","Tags Associadas"
"Attribute Set Name:","Atributo Set Nome:"
"Attribute set was successfully removed.","Conjunto de atributos foi removido com sucesso."
"Attributes","Atributos"
"Authors","Autores"
"Available Products","Produtos Disponíveis"
"Average Order Amount","Gasto em Média"
"Average Orders","Média dos Pedidos"
"Back","Voltar"
"Back to Login","Voltar"
"Backup","Backup"
"Backup record was deleted","Arquivo de backup excluído"
"Backup successfully created","Arquivo de backup criado"
"Backups","Backups"
"Base currency","Moeda Base"
"Bcc","Bcc"
"Bestsellers","Mais Vendidos"
"Big Image","Imagem Grande"
"Billing Address","Endereço de Cobrança"
"Billing address","Endereço de cobrança"
"Block Information","Bloco de Informação"
"Both (without and with tax)","Ambos (com e sem imposto)"
"Both IPN and PDT","Ambos IPN e PDT"
"Browse Files...","Procurar Arquivos..."
"Bundle Items","Empacotar Itens"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacotes com preços dinâmicos não podem ter opções de campos personalizados. Opções não serão salvas."
"CMS","CMS"
"CRITICAL","PERIGOSO"
"CSV","CSV"
"CSV / Tab separated","CSV / Separado por Delimitador"
"Cache Control","Controle de Cache"
"Cache Control (beta)","Controle de Cache (beta)"
"Cache Management","Gerenciamento de Cache"
"Cache Type","Tipo de Cache"
"Cache storage was flushed successfully.","Cache em memória foi liberado com sucesso."
"Can not add new comment.","Não é possível incluir um novo comentário."
"Can not add tracking number.","Não é possível incluir um número de rastreamento."
"Can not delete tracking number.","Não é possível excluir o número de rastreamento."
"Can not do credit memo for order","Não é possível criar um reembolso para o pedido"
"Can not do shipment for order separate from invoice.","Não é possível enviar uma encomenda sem faturar."
"Can not do shipment for order.","Não é possível enviar a encomenda."
"Can not initialize shipment for adding tracking number.","Não é possível iniciar a entrega para o número de rastreador indicado."
"Can not initialize shipment for delete tracking number.","Não é possível iniciar a entrega para o número de rastreador apagado."
"Can not load track with retrieving identifier.","Não é possível recuperar a entrega com os dados de identificação."
"Can not retrieve tracking number detail.","Não é possível recuperar detalhes do número de rastreamento."
"Can not save shipment.","Não é possível salvar a entrega."
"Can not send shipment information.","Não é possível enviar informações de entrega."
"Can not update item qty","Não é possível atualizar a quantidade de itens"
"Can't delete design change","Não é possível desfazer as alterações de design"
"Can\'t find email address.","Não é possível encontrar um endereço de email."
"Cancel","Cancelar"
"Cannot save Credit Memo.","Não é possível salvar a Reembolso."
"Card Verification Number","Verificar Número do Cartão"
"Carrier/Method","Transporte/Método"
"Catalog","Catálogo"
"Catalog Index rebuild error. Please try again later","Erro ao reconstruir índice do catálogo. Tente novamente mais tarde"
"Catalog Index was rebuilt successfully","Índice do Catálogo foi reconstruído com sucesso"
"Catalog Price Rules","Promoções no Catálogo"
"Catalog Rewrites","Reescrita de Catálogo"
"Catalog Rewrites was refreshed successfully","Reescrita de Catálogo foi atualizado com sucesso"
"Catalog Rewrites were refreshed successfully","Reescritas de Catálogos foram atualizados com sucesso"
"CatalogInventory Stock Status rebuild error. Please try again later","Erro ao reconstruir Status do Estoque de Produtos. Por favor tente novamente mais tarde"
"CatalogInventory Stock Status was rebuilt successfully","Status do Estoque de Produtos foi reconstruído com sucesso"
"Categories","Categorias"
"Category:","Categoria:"
"Channel","Canal"
"Checkbox","Checkbox"
"Choose Store View","Selecionar Ambiente"
"Choose an attribute","Escolha um atributo"
"Clear","Limpar"
"Close","Fechar"
"Comment text field can not be empty.","Campo de comentário não pode ficar em branco."
"Comments History","Histórico de Comentários"
"Complete","Finalizado"
"Configuration","Configuração"
"Configuration successfully saved","Configuração salva com sucesso"
"Confirmed email:","Email:"
"Connect with the Magento Community","Junte-se a Comunidade Magento"
"Contents","Conteúdo"
"Convert to Plain Text","Converter para Texto"
"Cookie (Unsafe)","Cookie (Pouco Seguro)"
"Country","País"
"Country:","Países:"
"Coupons","Cupons"
"Create","Criar"
"Create DB Backup","Criar Backup do Banco"
"Create New Attribute","Criar Atributo"
"Create URL Rewrite:","Reescrita de URL Para:"
"Created At","Criado Em"
"Created At Invoice","Fatura Criada Em"
"Created At Order","Pedido Criado Em"
"Created At Refunded","Reembolso Criado Em"
"Created At Shipment","Entrega Criada Em"
"Credit Card Number","Número de Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número de Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Memo #%s comment added","Reembolso #%s comentário adicionado"
"Credit Memo #%s created","Reembolso #%s criado"
"Credit Memo History","Histórico de Reembolso"
