"# of Use","# em Uso"
"%1$s incl tax.","%1$s incl taxa."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Dados copiados em: %s)"
"(Will make search for the query above return results for this search.)","(Iremos fazer uma busca para os critérios que retornem resultados nesta pesquisa.)"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","Selecione..."
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por padrão, se não informado. Para atualizar rapidamente, Limpe os caches de saída para blocos HTML."
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"A name is required","Um nome é obrigatório"
"A product type is not defined for the indexer.","O tipo de produto não está definido no indexador."
"ALL GROUPS","TODOS OS GRUPOS"
"AM","AM"
"Action","Ações"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Criar Tema"
"Add Group","Criar Grupo"
"Add New","Criar Pasta"
"Add New Attribute","Criar Atributo"
"Add New Attribute Set","Novo Grupo de Atributos"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Nova Linha"
"Add New Search Term","Criar Termo de Pesquisa"
"Add New Set","Criar Grupo"
"Add Product","Criar Produto"
"Add Product To Websites","Adicionar Produto para Websites"
"Add Root Category","Criar Categoria"
"Add Subcategory","Criar SubCategoria"
"Add Tax","Criar Imposto"
"Add Tier","Criar Faixa"
"Add to Cart","Comprar"
"Add to Compare","Comparar Produto"
"Add to Wishlist","Adicionar aos Favoritos"
"Additional Information","Informação Adicional"
"Alert Urls","Alertas Urls"
"All","Todos"
"All Product Types","Todos os Tipos de Produtos"
"All Websites","Todos Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos selecionados serão excluídos! Deseja realmente excluir este atributo?"
"Allow All Products per Page","Permitir Exibir Todos os Produtos na Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URL Mídia Dinâmica nos Produtos e Categorias"
"Allow HTML Tags on Front-end","Permitir tags HTML no texto"
"Allowed File Extensions","Extensões de Arquivos Permitidos"
"Allowed file extensions to upload","Extensões de arquivos permitidos para upload"
"An error occurred while adding customers for the %s alert. Message: %s","Ocorreu um erro ao adicionar clientes para %s alerta. Mensagem: %s"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos para websites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar a lista de comparações."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos do websites."
"An error occurred while saving the URL rewrite.","Ocorreu um erro ao salvar Reescrita de URL."
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao salvar a coleção, abortando. Mensagem de Erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao salvar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar termos de pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar este grupo."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar excluir a categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos dos produtos."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar os status dos produtos."
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválida foi informada para %s (%s), ignorando registro."
"An invalid store was specified.","Uma loja inválida foi informada."
"Anchor Custom Text","Vincular a Texto Personalizado"
"Anchor Custom Title","Vincular a Título Personalizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicáveis aos produtos de catálogo e somente as categorias. Qualquer conteúdo de mídia será inserido no editor como um URL estático. Ele não é atualizado, se o sistema de configuração URL mudar."
"Apply To","Aplicar Para"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Tem certeza que deseja excluir esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Tem certeza que deseja excluir todos os produtos da sua lista de comparação?"
"Are you sure you would like to remove this item from the compare products?","Tem certeza que deseja excluir o produto da sua lista de comparação?"
"Are you sure?","Você tem certeza?"
"As low as:","Menor Preço:"
"Assign","Atribuir"
"Assign product link","Atribuir link ao produto"
"Assign product to category","Atribuir categoria ao produto"
"Assigned Products","Produtos Atribuídos"
"Associated Products","Associar Produtos"
"Attrib. Set Name","Atrib. Nome"
"Attribute ""%s"" is required","Atributo ""%s"" é obrigatório"
"Attribute ""%s"" is required.","Atributo ""%s"" é obrigatório."
"Attribute Information","Informações do Atributo"
"Attribute Model","Modelo de Atributo"
"Attribute Name:","Nome do Atributo:"
"Attribute Set","Marcar Atributo"
"Attribute Set no longer exists.","Este Atributo não existe mais."
"Attribute Set successfully saved.","Atributo salvo com sucesso."
"Attribute group with the \/name/\"" name already exists""""""","Grupo de atributo com nome \/name/\"" já existe"""
"Attribute model not defined","Modelo de atributo não informado"
"Attribute with the same code already exists","Já existe um atributo com este código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Nomes de atributos podem ser específicos por loja."
"Autogenerate","Automático"
"Availability:","Disponível:"
"Availability","Disponibilidade"
"Availability: In stock.","Disponibilidade: Em estoque"
"Availability: In Stock.","Disponibilidade: Em Estoque"
"Availability: Out of stock.","Disponibilidade: Esgotado"
"Availability: Out of Stock.","Disponibilidade: Esgotado"
"Back","Voltar"
"Backend Model","Voltar Modelo"
"Backend Table","Voltar Tabela"
"Backend Table Title","Voltar Título da Tabela"
"Backorders","Pedidos que Voltaram"
"Base directory to upload image file is not specified","Diretório base para enviar arquivos de imagem não foi definido"
"Base Image Watermark Default Size","Tamanho Padrão em Imagens Base"
"Base Image Watermark Opacity, Percent","Transparência Percentual nas Imagens"
"Base Image Watermark","Imagem Base para Marca D'água"
"Base Image Watermark Position","Posição da Imagem Base"
"Based On","Com Base Em"
"Best Value","Melhor Valor"
"Block after Info Column","Bloco depois da Coluna de Informação"
"Bottom Block Options Wrapper","Bloco Abaixo Opção de Empacotamento"
"Bottom/Left","Abaixo/Esquerda"
"Bottom/Right","Abaixo/Direita"
"Browse By","Navegar Por"
"Buy %1$s for %2$s","Compre %1$s leve %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Leve %1$s por %2$s (%3$s incl. imposto) cada"
"Buy %1$s for %2$s each","Leve %1$s por %2$s cada"
"Cache Lifetime (Seconds)","Ciclo de vida do Cache (Segundos)"
"Cache refresh needed.","Cache precisa ser atualizado."
"Can be used only with catalog input type Dropdown","Pode ser usado apenas com catálogo tipo de input Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Funciona apenas para campos do tipo Combobox, Seleção Múltipla e Preços"
"Cannot create image.","Não foi possível criar a imagem."
"Cannot create writeable directory '%s'","Não foi possível criar um diretório com permissões de gravação '%s'"
"Cart Item Attribute","Atributo do Item do Carrinho"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Catálogo Categoria (Vínculo)"
"Catalog Category (Non-Anchor)","Catálogo Categoria (Sem-Vínculo)"
"Catalog Category (Without Subcategories)","Catálogo Categoria (Sem Subcategorias)"
"Catalog Category Link","Categoria"
"Catalog New Products List","Novos Produtos"
"Catalog Price Scope","Catálogo Preço Escopo"
"Catalog Product Compare List","Catálogo Produto Comparar Lista"
"Catalog Product Email to a Friend","Catálogo Produto Avisar um Amigo"
"Catalog Product Image Gallery Popup","Catálogo Produto Galeria de Imagens Popup"
"Catalog Product Link","Produto"
"Catalog Product View (Any)","Catálogo Produto Visualizar (Qualquer)"
"Catalog Product View (Configurable)","Catálogo Produto Visualizar (Configurável)"
"Catalog Product View (Grouped)","Catálogo Produto Visualizar (Agrupado)"
"Catalog Product View (Simple)","Catálogo Produto Visualizar (Simples)"
"Catalog Product View (Virtual)","Catálogo Produto Visualizar (Virtual)"
"Catalog Section","Seção Catálogo"
"Catalog Seo Popular Search Terms","Catálogo Seo Termos de Busca Populares"
"Catalog Seo Sitemap (Category List)","Catálogo Seo Sitemap (Categoria Lista)"
"Catalog Seo Sitemap (Category Tree)","Catálogo Seo Sitemap (Categoria árvore)"
"Catalog Seo Sitemap (Common)","Catálogo Seo Sitemap (Normal)"
"Catalog Seo Sitemap (Product List)","Catálogo Seo Sitemap (Produto Lista)"
"Catalog URL Rewrites","Catálogo Reescrita de Url"
"Catalog, Search","Catálogo, Busca"
"Categories","Categorias"
"Categories Sitemap","Categorias Sitemap"
"Category","Categoria"
"Category API","API de Categoria"
"Category Data","Dados da Categoria"
"Category Flat Data","Categoria de Dados Unificados"
"Category Link Block Template","Categoria Link Bloco Modelo"
"Category Link Inline Template","Categoria Link Inline Modelo"
"Category Products","Produtos"
"Category Top Navigation","Categoria Top Navegação"
"Category URL Suffix","Categoria Sufixo URL"
"Category attributes API","Categoria atributos API"
"Category delete error","Categoria delete erro"
"Category deleted","Categoria excluída"
"Category move error","Categoria move erro"
"Category move operation is not possible: new parent category not found.","Não foi possível mover a categoria: local de destino para categoria não foi encontrado."
"Category must be an instance of Mage_Catalog_Model_Category","Categoria precisa ser uma instância de Mage_Catalog_Model_Category"
"Category saved","Salvo com sucesso"
"Center","Centro"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou Recuperar atributos da visão"
"Change status","Alterar status"
"Check items to add to the cart or","Escolha os itens que deseja adicionar ao carrinho ou "
"Choose an Option...","Selecione..."
"Clear All","Limpar Todos"
"Close Window","Fechar Janela"
"Collapse All","Recolher"
"Comma-separated.","Separado por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Pode ser Comparável"
"Comparable on the Frontend","Comparável no Frontend"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Compare Products List","Comparar Lista de Produtos"
"Compare list successfully cleared","Comparar lista limpa com sucesso"
"Conditions Combination","Condições de Combinação"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Opções de Produtos Configuráveis"
"Continue","Continuar"
"Copy From Configurable","Copiar de Configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (Upload)"
"Create Empty","Criar Vazio"
"Create Permanent Redirect for old URL","Criar Redirecionamento Permanente para a antiga URL"
"Create Permanent Redirect for old URLs if Url key changed","Criar Redirecionamento Permanente para a antiga URLs se a chave da URL mudar"
"Create Product Settings","Opções"
"Create Simple Associated Product","Criar Produto de Simples Associação"
"Create new category","Criar Categoria"
"Create new product","Criar Produto"
"Cross-sells","Vendas Cruzados"
"Currently Shopping by","Atualmente Comprando de"
"Custom Design","Template Personalizado"
"Custom Options","Opções Personalizadas"
"Customer Group","Grupo do Cliente"
"Customers Reviews","Comentários de Clientes"
"Customers Tagged Product","Tags dos Clientes"
"Customers for alert %s was successfuly added to queue","Clientes para alertas %s foram adicionados a fila com sucesso"
"Data Type for Saving in Database","Tipo de Dados para Salvar no Banco de Dados"
"Date & Time Custom Options","Data & Hora Opções Personalizadas"
"Date Subscribed","Data Assinatura"
"Date Fields Order","Data campos de ordem"
"Date Subscribed","Data de Assinatura"
"Datetime","Data e Hora"
"Decimal","Decimal"
"Declare attribute value saving scope","Informe o ambiente em que o atributo ficará disponível"
"Default Price","Preço Padrão"
"Default Qty","Quantidade Padrão"
"Default Values","Valores Padrão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definir o escopo da moeda base (""Configuração de Moeda"" > ""Opção de Moeda"" > ""Moeda Base"")."
"Default price","Preço Padrão"
"Delete","Excluir"
"Delete Attribute","Excluir Atributo"
"Delete Attribute Set","Excluir Grupo de Atributos"
"Delete Category","Excluir"
"Delete Option","Excluir Opção"
"Delete Row","Excluir Linha"
"Delete Search","Excluir Busca"
"Delete Selected Group","Excluir Pasta"
"Delete category","Excluir Categoria"
"Delete product","Excluir Produto"
"Depends on design theme","Depende do seu template"
"Design","Template"
"Details","Detalhes"
"Disabled","Desabilitado"
"Disallowed file type.","Tipo de arquivo desabilitado."
"Display in Suggested Terms","Exibir em Termos Sugeridos"
"Double click on a group to rename it","Duplo clique no grupo para renomear"
"Double click on above image to view full picture","Duplo clique para aumentar imagem"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Duplicar website faixa de preço cliente grupo e quantidade."
"Duplicate website, country and state tax found.","Duplicar website, país e estado impostos encontrados."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Analisar impacto de diretivas dinâmicas no desempenho do catálogo."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar Grupo de Atributos '%s'"
"Edit Product Attribute","Editar Atributo"
"Edit Product Attribute ""%s""","Editar Atributo ""%s"""
"Edit Search","Editar Busca"
"Edit Search '%s'","Editar Busca '%s'"
"Edit Set Name","Editar Nome do Grupo"
"Email","Email"
"Email template is not specified by administrator","Modelo de Email não foi definido pelo administrador"
"Email to %s was not sent","Email para %s não foi enviado"
"Email to a Friend","Avisar um Amigo"
"Empty","Vazio"
"Enable Qty Increments","Habilitar Quantidade Incrementos"
"Enable WYSIWYG","Permitir WYSIWYG"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Erro ao recuperar opções de valores: %s"
"Error while adding customers for %s alert. Message: %s","Erro enquanto adicionava clientes para %s alertas. Mensagem: %s"
"Error while saving Attribute Set.","Erro enquanto salvava atributo."
"Error while saving search query. Please try again later.","Erro enquanto salvava critério de pesquisa. Tente novamente."
"Error while saving this group. Group with the same name already exists.","Erro enquanto salvava este grupo. Já existe um grupo com mesmo nome."
"Error while saving this group. Please try again later.","Erro enquanto salvava este grupo. Tente novamente."
"Exclude","Retirar"
"Expand All","Expandir"
"Failed","Falhou"
"Failed to move file: %s","Falha ao mover arquivo: %s"
"Feature Products","Produtos Destaques"
"Field is not complete","Campos não está completo"
"File options format is not valid","Opções de formato de arquivo não é válido"
"File upload failed","Arquivo de upload falhou"
"Filter model name must be declared","Nome do modelo de filtro precisa ser declarado"
"Filter must be as object. Set correct filter please","Filtro precisa ser um objeto. Marque o filtro corretamente"
"Filterable (no results)","Filtrar (mesmo sem resultados)"
"Filterable (with results)","Filtrar (apenas com resultados)"
"Filters must be as array","Filtros precisam ser um array"
"First Name","Nome"
"Fixed","Fixado"
"For internal use.","For internal use."
"Flat Catalog module has a limit of %2\$d filterable and/or sort able attributes. Currently there are %1\$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Módulo de catálogo unificado tem um limite de %2\$d filtros e/ou possibilidades de ordenar por atributos. Atualmente existem %1\$d. Reduza o número de filtros para filtrar/ordenar atributos para usar este módulo."
"For reindex enabled product(s) you need specify store or product","Para reindexar produtos ativos você precisa informar uma loja ou produto"
"Frontend","Frontend"
"Frontend Model","Modelo Frontend"
"Frontend Properties","Propriedades Frontend"
"Gallery","Galeria"
"General Information","Informações Gerais"
"Get special price","Obter preço especial"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Go to Home Page","Ir para Página Inicial"
"Grid","Tabela"
"Grouped Product","Produto Agrupado"
"Groups","Grupos"
"Home","Início"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Product Name will be used","Se vazio, o nome do produto será usado"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não informar um valor para as opções disponíveis então o valor padrão (Admin) será usado."
"Image","Imagem"
"Image does not exist.","Imagem não existe."
