"Actions","Ações"
"Active","Ativado"
"Add New Rule","Criar Regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao excluir a regra. Analise o arquivo de log e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar as informações da regra. Analise o arquivo de log e tente novamente."
"Apply Rules","Aplicar Regras"
"Attribute Set","Grupo de Atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regras da Promoção"
"Catalog Price Rules","Promoção de Catálogo"
"Catalog Price Rules based on deleted attribute ""%s"" has been disabled.","Regra de Preço de Catalogo baseado em atributo excluído ""%s"" foi desativado."
"Category","Categoria"
"Comments History","Histórico de Comentários"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para aplicar a todos os produtos)"
"Conditions Combination","Combinar Condições"
"Credit Memos","Reembolso"
"Customer Groups","Grupo de Clientes"
"Customer is a New Buyer: %s","Clientes são novos compradores: %s"
"Customer Registered: %s","Clientes Registrados: %s"
"Date Expire","Data Expira"
"Date From","Da Data"
"Date Start","Data Início"
"Date To","Para Data"
"Delete Rule","Excluir Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Error while deleting rule. Please review log and try again.","Erro ao excluir regra. Verifique o arquivo de log e tente novamente."
"Error while saving rule data. Please review log and try again.","Erro ao salvar informações da regra. Verifique o arquivo de log e tente novamente."
"Expire at: %s","Expira em: %s"
"From Date","Iniciar em"
"General Information","Informação Geral"
"Gift Messages","Mensagens de Presente"
"ID","ID"
"Inactive","Desativado"
"Invoices","Faturas"
"NOT LOGGED IN","QUALQUER UM"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"No","Não"
"Options","Opções"
"Order Credit Memos","Reembolso Pedidos"
"Order Gift Messages","Mensagens Presentes Pedidos"
"Order History","Histórico Pedidos"
"Order Invoices","Faturas Pedidos"
"Order Shipments","Entregas Pedidos"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Promotions","Promoções"
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Rule was successfully deleted","Regras foram excluídas com sucesso"
"Rule was successfully saved","Regras foram salvas com sucesso"
"Rules were successfully applied","Regras aplicadas com sucesso"
"Save and Continue Edit","Salvar e Continuar"
"Save Rule","Salvar"
"Save and Apply","Salvar e Aplicar"
"Shipments","Entregas"
"Start at: %s","Iniciar em: %s"
"Status","Status"
"Stop Further Rules Processing","Parar processamento de novas regras"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","A regra foi aplicada."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Algumas regras foram alteradas mas não aplicadas. Por favor, clique em Aplicar Regras para ver o efeito imediato no catálogo."
"This rule no longer exists.","Esta regra não existe mais."
"To Date","Finalizar em"
"Unable to apply rules.","Não foi possível aplicar as regras."
"Unable to find a rule to delete.","Não foi possível encontrar a página excluída."
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Websites","Sistemas"
"Wrong rule specified.","Regra especificada errada."
"Yes","Sim"
