"%s and greater","%s e maior"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> encontrados usando os seguinte critérios"
"Advanced Search","Busca Avançada"
"Advanced Search Form","Formulário de Busca Avançada"
"Advanced Search Result","Resultado da Busca Avançada"
"All","Todos"
"Applies for ""Like"" Search type only","Aplicar apenas tipo ""Like"" nas buscas"
"Apply Layered Navigation if search results are less than","Aplicar Camada de Navegação se resultados de pesquisas forem menor que"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Alterar atributo de configuração relacionado ao índice de pesquisa. Por favor execute o processo de <a href=""%s"">Reconstrução de Índice de Pesquisa</a>"
"Autogenerated site map","Gerar sitemap automaticamente"
"Catalog Advanced Search","Busca Avançada"
"Catalog Search","Busca de Catálogo"
"Catalog Search Index","Índice de Busca do Catálogo"
"Don't see what you're looking for?","Não sabe o que está procurando?"
"Enter ""0"" to enable layered navigation for any number of results.","Digite ""0"" para habilitar a camada de navegação para qualquer número de resultados."
"Go","Ir"
"Go to Home Page","Ir para Página Inicial"
"Grid","Tabela"
"Home","Início"
"List","Lista"
"Maximum Query Length","Tamanho Máximo dos Critérios"
"Maximum Query Words Count","Máximo de Palavras em Critérios"
"Maximum Search query  length is %s. Your query was cut.","Tamanho Máximo dos critérios de pesquisa é %s. Seu critério foi cortado."
"Minimal Query Length","Tamanho Mínimo dos Critérios"
"Minimum Search query length is %s","Tamanho Mínimo dos critérios é %s"
"Modify your search","Altere seus termos de busca"
"No","Não"
"No items were found using the following search criteria.","Nenhum item foi encontrado usando esses filtros."
"Please specify at least one search term.","Informe pelo menos um termo de busca."
"Please enter ""0"" to enable layered navigation for any number of results","Por favor digite ""0"" para ativar camada de navegação para qualquer número de resultados"
"Popular Search Terms","Termos Populares"
"Popular search terms","Palavras mais procuradas"
"Quick Search Form","Formulário de Busca Rápido"
"Rebuild Catalog product fulltext search index","Reconstruir catálogo de produtos índice de pesquisa total"
"Relevance","Relevância"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Opções de Busca"
"Search Terms","Termos de Pesquisa"
"Search Type","Tipo de Busca"
"Search entire store here...","Digite o que procura..."
"Search results for '%s'","Resultados para '%s'"
"Search results for: '%s'","Resultados para: '%s'"
"Search:","Buscar:"
"Subscribe to Feed","Assinaturas da Lista"
"There are no search terms available.","Não há termos de consulta disponíveis."
"Yes","Sim"
"You have to specify at least one search term","Você precisa indicar ao menos um termo de pesquisa"
"Your search returns no results.","Nenhum resultado encontrado."
"up to %s","até %s"
