"%s was successfully added to your shopping cart.","%s foi adicionado com sucesso no seu carrinho de compras."
"* Required Fields","* Campos Obrigatórios"
"Add New Address","Adicionar Endereço"
"Add New Condition","Criar Termo"
"Add to Cart","Comprar"
"Add to Compare","Comparar Produtos"
"Add to Wishlist","Adicionar aos Favoritos"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"After adding a product redirect to shopping cart","Ao adicionar produto redirecionar p/ carrinho"
"Allow Guest Checkout","Permitir Pedido de Visitante"
"Already registered?","Já possui uma conta?"
"An error occurred in the process of payment","Ocorreu um erro ao processar o pagamento"
"Apply Coupon","Usar Cupom"
"Are you sure you would like to remove this item from the shopping cart?","Deseja realmente retirar este item do seu carrinho de compras?"
"Back","Voltar"
"Back to Billing Information","Voltar para Informações de Cobrança"
"Back to Select Addresses","Voltar para Selecionar Endereço"
"Back to Shipping Information","Voltar para Informações de Entrega"
"Back to Shopping Cart","Voltar para Carrinho de Compras"
"Based on your selection, you may be interested in the following items:","Aproveite Nossas Ofertas:"
"Billing Address","Endereço de Cobrança"
"Billing Information","Informações de Cobrança"
"Billing Information - %s","Informações de Cobrança - %s"
"Can not add item to shopping cart","Não foi possível adicionar o item ao carrinho de compras"
"Can not apply coupon code.","O cupom não foi aplicado."
"Can\'t open overview page","Não foi possível abrir a página de visualização"
"Cancel Coupon","Cancelar Cupom"
"Cannot remove item","Não foi possível remover o item"
"Cannot update shopping cart","Não foi possível atualizar valores"
"Card Verification Number Visual Reference","Referência visual para verificação de número de cartão"
"Cart Subtotal:","Subtotal:"
"Change","Alterar"
"Change Billing Address","Alterar Endereço de Cobrança"
"Checkbox text","Texto do Checkbox"
"Checkout","Fechar Pedido"
"Checkout Conditions","Condições do Pedido"
"Checkout Method","Identificação"
"Checkout Options","Opções ao Fechar Pedido"
"Checkout Section","Sessão Pagamento do Pedido"
"Checkout Terms and Conditions","Exibir Termos e Condições"
"Checkout as Guest","Finalizar Como Visitante"
"Checkout as a Guest or Register","Criar Sua Conta"
"Checkout with Multiple Addresses","Finalizar Pedido com Vários Endereços"
"City","Cidade"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target=\'_blank\'"">aqui para imprimir</a> uma cópia da sua confirmação do pedido."
"Close","Fechar"
"Company","Profissão"
"Condition Name","Nome do Termo"
"Condition was successfully deleted","Condição foi excluída com sucesso"
"Condition was successfully saved","Condição foi salva com sucesso"
"Configurable product image","Imagem do produto configurável"
"Confirm Password","Confirmar Senha"
"Content","Conteúdo"
"Content Height","Altura do Conteúdo"
"Content Height (css)","Altura do Conteúdo (css)"
"Continue","Continuar"
"Continue Shopping","Continuar Comprando"
"Continue to Billing Information","Continuar para Informação de Cobrança"
"Continue to Review Your Order","Continuar para Revisar o Pedido"
"Continue to Shipping Information","Continuar para Informações de Envio"
"Country","País"
"Coupon code ""%s"" is not valid.","Cupom ""%s"" não é válido."
"Coupon code ""%s"" was applied successfully.","Cupom ""%s"" foi aplicado com sucesso."
"Coupon code was canceled successfully.","Cupom foi cancelado com sucesso."
"Create Billing Address","Criar Endereço de Cobrança"
"Create Shipping Address","Criar Endereço de Entrega"
"Data saving problem","Problema ao salvar dados"
"Default Billing","Cobrança Padrão"
"Default Shipping","Entrega Padrão"
"Delete Condition","Excluir Condição"
"Details","Detalhes"
"Disabled","Desabilitar"
"Discount Codes","Cupom de Desconto"
"Display Cart Summary","Exibir resumo no carrinho"
"Display Shopping Cart Sidebar","Exibir carrinho na barra lateral"
"Display item quantities","Quantidade de itens"
"Display number of items in cart","Número de itens no carrinho"
"Easy access to your order history and status","Acompanhe seus pedidos e guarde históricos"
"Edit","Editar"
"Edit Address","Editar Endereço"
"Edit Billing Address","Editar Endereço de Cobrança"
"Edit Items","Editar Itens"
"Edit Shipping Address","Editar Endereço de Entrega"
"Edit Terms and Conditions","Editar Termos e Condições"
"Edit Your Cart","Editar Carrinho de Compras"
"Email Address","Endereço de Email"
"Enable Onepage Checkout","Exibir Página p/ Fechar Pedido"
"Enable Terms and Conditions","Exibir Termos e Condições"
"Enabled","Ativado"
"Enter a New Address","Informe um novo endereço"
"Enter your coupon code if you have one.","Digite aqui seu Cupom/Vale-Presente."
"Enter your destination to get a shipping estimate.","Informe o CEP de destino para calcular o valor da entrega."
"Error while deleting this condition. Please try again later.","Erro ao tentar excluir esta condição."
"Error while saving this condition. Please try again later.","Erro ao salvar esta condição."
"Estimate Shipping and Tax","Calcular Frete"
"Excl. Tax","Excl. Taxa"
"Fast and easy check out","Fechar pedidos com maior agilidade"
"Fax","Fax"
"Forgot an Item?","Esqueceu alguma coisa?"
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Calcular"
"Grand Total:","Total Final:"
"Grouped product image","Imagem do produto agrupado"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Taxa"
"Item not found or already ordered","Item não encontrado ou já solicitado"
"Items","Itens"
"Load customer quote error","Erro ao carregar informações do cliente"
"Loading next step...","Carregando..."
"Login","Entrar"
"Manage Checkout Terms and Conditions","Termos e Condições de Compra"
"Maximum display Recently added item(s)","Máximo de itens na lista"
"Maximum qty allowed for Shipping to multiple addresses is %s","Quantidade máxima permitida para entrega em vários endereços é %s"
"Move to Wishlist","Mover para Favoritos"
"Multishipping Checkout","Pagar pedido em entrega dividida"
"Multishipping Checkout Address (Any) Form","Vários Endereços Finalizar Pedido Endereço (Qualquer) Form"
"Multishipping Checkout Billing Address Creation","Vários Endereços Finalizar Pedido Endereço de Cobrança Criando"
"Multishipping Checkout Billing Address Edit Form","Vários Endereços Finalizar Pedido Endereço de Cobrança Editar Form"
"Multishipping Checkout Billing Address Selection","Vários Endereços Finalizar Pedido Endereço de Cobrança Selecionando"
"Multishipping Checkout Billing Information Step","Vários Endereços Finalizar Pedido Cobrança Informação Passo"
"Multishipping Checkout Customer Address Edit Form","Vários Endereços Finalizar Pedido Cliente Endereço Editar Form"
"Multishipping Checkout Overview","Vários Endereços Finalizar Pedido Rever"
"Multishipping Checkout Shipping Address Creation","Vários Endereços Finalizar Pedido Endereço de Entrega Criando"
"Multishipping Checkout Shipping Address Edit Form","Vários Endereços Finalizar Pedido Endereço de Entrega Editar Form"
"Multishipping Checkout Shipping Address Selection","Vários Endereços Finalizar Pedido Endereço de Entrega Selecionando"
"Multishipping Checkout Shipping Information Step","Vários Endereços Finalizar Pedido Informação de Entrega Passo"
"Multishipping Checkout Success","Vários Endereços Finalizar Pedido Sucesso"
"My Cart","Carrinho"
"My Cart (%s item)","Carrinho (%s item)"
"My Cart (%s items)","Carrinho (%s itens)"
"My Cart Link","Links no Carrinho de Compras"
"New Address","Novo Endereço"
"New Condition","Nova Condição"
"One Page Checkout","Página Finalizar Pedido"
"One Page Checkout Failure","Falha ao Finalizar Pedido"
"One Page Checkout Success","Pedido Finalizado com Sucesso"
"Order #","Pedido #"
"Order Review","Confirmar Pedido"
"Order Success","Pedido com Sucesso"
"Other items in your order","Outros itens no seu pedido"
"Password","Senha"
"Payment Failed Email Reciever","Destinatário de envio de email"
"Payment Failed Email Sender","Remetente de envio de email"
"Payment Failed Emails","Emails p/ Falhas no Pagamento"
"Payment Failed Template","Modelo de email"
"Payment Information","Forma de Pagamento"
"Payment Method","Forma da Pagamento"
"Payment Methods After Checkout Button","Forma de pagamento depois do botão fechar pedido"
"Payment Methods Before Checkout Button","Forma de pagamento antes do botão fechar pedido"
"Payment method is not defined","Forma de pagamento não foi selecionada"
"Place Order","Encerrar Pedido"
"Please <a href=""%s"">continue shopping</a>.","Por favor <a href=""%s"">continue comprando</a>."
"Please agree to all Terms and Conditions before placing the order.","Você precisa aceitar os termos e condições antes de encerrar o pedido."
"Please agree to all Terms and Conditions before placing the orders.","Você precisa aceitar os termos e condições antes de encerrar os pedidos."
"Please log in below:","Informe abaixo:"
"Please select region, state or province","Selecione uma região, estado ou bairro"
"Please select shipping address for applicable items","Selecione um endereço de entrega para os itens selecionados"
"Please select shipping methods for all addresses","Selecione uma forma de entrega para todos os endereços"
"Price","Preço"
"Proceed to Checkout","Fechar Pedido"
"Product","Produto"
"Product Name","Nome do Produto"
"Product does not exist","Produto não existe"
"Qty","Qtd"
"Quote Lifetime (days)","Armazenar Carrinho (dias)"
"Recently added item(s)","últimos Adicionados"
"Register","Cadastrar"
"Register and save time!","Ganhe Tempo!"
"Register to Create an Account","Criar Conta"
"Register with us for future convenience:","Aproveite as Vantagens de Ser Cliente:"
"Remove Item","Excluir Item"
"Remove This Item","Excluir Este Item"
"Remove item","Excluir item"
"Review Order","Rever Pedido"
"Review Order - %s","Rever Pedido - %s"
"Sales","Vendas"
"Save Condition","Salvar"
"Save in address book","Salvar o endereço no livro"
"Select Address","Selecione o Endereço"
"Select Addresses","Selecione os Endereços"
"Select Shipping Method","Selecione Método de Entrega"
"Select State/Province...","Selecione Estado..."
"Select a billing address from your address book or enter a new address.","Escolha um endereço de cobrança cadastrado ou crie um novo."
"Select a shipping address from your address book or enter a new address.","Escolha um endereço de entrega cadastrado ou crie um novo."
"Send Payment Failed Email Copy Method","Enviar cópia de email usando"
"Send Payment Failed Email Copy To","Enviar cópia de email para"
"Send to","Enviar para"
"Ship to Multiple Addresses","Entregar em vários endereços"
"Ship to different address","Entregar em Outro Endereço"
"Ship to this address","Entregar no Mesmo Endereço"
"Shipping Address","Endereço de Entrega"
"Shipping Information","Informações de Entrega"
"Shipping Method","Escolha de Frete"
"Shipping Methods","Métodos de Entrega"
"Shipping method has not been selected yet","Método de entrega ainda não foi selecionado"
"Shipping selection is not applicable","Entrega selecionada não esta disponível"
"Shipping to","Entregar para"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Form Before","Formulário do Carrinho de Compras vem Antes"
"Shopping Cart Sidebar","Carrinho de Compras na Lateral"
"Shopping Cart is Empty","Carrinho de Compras"
"Show Content as","Exibir Conteúdo como"
"Some of the products you requested are not available in the desired quantity","Alguns produtos que você selecionou não estão disponíveis na quantidade desejada"
"Some of the products you requested are unavailable","Alguns produtos que você selecionou não estão disponíveis"
"Sorry, Onepage Checkout is disabled.","Opa, a página de pagamento de pedido foi desativada."
"Sorry, no quotes are available for this order at this time.","Desculpe, não há informações disponíveis sobre este pedido no momento."
"State/Province","Estado"
"Status","Status"
"Store View","Visão"
"Street Address","Rua"
"Street Address ","Rua "
"Submitting order information...","Enviando informações do pedido..."
"Subtotal","Subtotal"
"Telephone","Telefone"
"Terms and Conditions","Termos e Condições"
"Terms and Conditions Information","Informação de Termos e Condições"
"Terms and conditions","Termos e Condições"
"Text","Texto"
"Thank you for your purchase!","Obrigado por comprar conosco!"
"There are <a href=""%s"">%s items</a> in your cart.","Você possui <a href=""%s"">%s itens</a> no carrinho."
"There is <a href=""%s"">1 item</a> in your cart.","Você possui <a href=""%s"">1 item</a> no carrinho."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar seu pedido. Entre em contato ou tente novamente."
"This condition no longer exists","Esta condição não existe mais"
"Total","Total"
"Total for this address","Total para este endereço"
"Unable to set Payment Method.","Método de pagamento não identificado."
"Unit Price","Preço Unitário"
"Update Qty &amp; Addresses","Atualizar Qtd &amp; Endereços"
"Update Shopping Cart","Atualizar Valores"
"Update Total","Atualizar Total"
"Use Billing Address","Usar Endereço de Cobrança"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Seu pedido esta passando por um processo de análise e você receberá um email com detalhes deste pedido. Assim que seu pedido sair para entrega você receberá outro email com um link de rastreamento da entrega."
"You have no items in your shopping cart.","Nenhum item adicionado."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá uma cópia do seu pedido por email com detalhes do seu pedido e um link para acompanhar seu progresso."
"Your Checkout Progress","Progressos do Pedido"
"Your order # is: %s","Seu pedido # é: %s"
"Your order # is: <a href=""%s"">%s</a>","Seu pedido # é: <a href=""%s"">%s</a>"
"Your order has been received","Recebemos seu pedido"
"Your order number is ","Número do seu pedido é "
"Zip/Postal Code","Cep"
"osCommerce Orders","Pedidos osCommerce"
"separate by "",""","separado por "","""
