"A block identifier with the same properties already exists in the selected store.","Um identificador de bloco com as mesmas propriedades já existe para a loja selecionada."
"A directory with the same name already exists. Please try another folder name.","Já existe um diretório com este nome. Tente usar outro nome."
"A page URL key for specified store already exists.","A chave de URL da página para esta loja já existe."
"Action","Ação"
"Add New Block","Criar Bloco"
"Add New Page","Criar Página"
"All countries","Todos os países"
"All Countries","Todos os Países"
"An error occurred while saving the page.","Ocorreu um erro ao salvar a página."
"Anchor Custom Text","Texto ancora customizado"
"Anchor Custom Title","Titulo ancora customizado"
"Are you sure you want to delete current folder?","Você tem certeza que deseja excluir a pasta atual?"
"Are you sure you want to delete the selected file?","Você tem certeza que deseja excluir o arquivo selecionado?"
"Block","Bloco"
"Block Information","Informações de Bloco"
"Block Title","Título"
"Block was successfully deleted","Bloco foi excluído com sucesso"
"Block was successfully saved","Bloco foi salvo com sucesso"
"CMS","CMS"
"CMS Home Page","CMS Página Inicial"
"CMS No Cookies Page","CMS Não Permite Cookies"
"CMS No Route Page","CMS Página Não Encontrada"
"CMS No-Route Page","CMS Página Não Encontrada"
"CMS Page","CMS Pagina"
"CMS Page Link","CMS Pagina"
"CMS Page Link Block Template","CMS Pagina Link Bloco Modelo"
"CMS Page Link Inline Template","CMS Pagina Link Dentro do Modelo"
"CMS Pages (All)","CMS Paginas (Todos)"
"CMS Static Block","CMS Bloco Estático"
"CMS Static Block Default Template","CMS Bloco estático padrão modelo"
"Cannot create new directory.","Não foi possível criar o diretório."
"Cannot delete directory %s.","Não foi possível excluir o diretório %s."
"Cannot delete root directory %s.","Não foi possível excluir o diretório raiz %s."
"Cannot upload file.","Não foi possível fazer upload do arquivo."
"Collapse All","Recolher"
"Content","Conteúdo"
"Content Heading","Título do Cabeçalho"
"Content Management","CMS"
"Contents of a Static Block","Conteúdo do bloco estático"
"Create Folder...","Criar Pasta..."
"Custom Design","Design Customizado"
"Custom Design From","Design Customizado de"
"Custom Design To","Design Customizado para"
"Custom Layout","Leiaute Customizado"
"Custom Layout Update XML","Atualizar XML de leiaute customizado"
"Custom Theme","Tema Customizado"
"Customer Tax Class Information","Informação de Classe de Cliente"
"Date Created","Data Criação"
"Delete Block","Excluir"
"Delete File","Excluir Arquivo"
"Delete Folder","Excluir Pasta"
"Delete Page","Excluir"
"Description","Descrição"
"Design","Design"
"Directory %s is not writable by server","Diretório %s não tem permissão de escrita no servidor"
"Disabled","Desabilitado"
"Disabled Completely","Desabilitado por Completo"
"Disabled by Default","Desabilitado por Padrão"
"Edit Block","Editar Bloco"
"Edit Block '%s'","Editar Bloco '%s'"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"Enable WYSIWYG editor","Habilitar editor WYSIWYG"
"Enabled","Habilitado"
"Enabled by Default","Habilitado por Padrão"
"Error while saving Page. Please try again later.","Erro ao tentar salvar pagina. tente novamente."
"Expand All","Expandir"
"General Information","Informações Gerais"
"Go to Home Page","Ir para pagina inicial"
"Home","Início"
"ID","ID"
"Identifier","Identificador"
"If empty, the Page Title will be used","Se vazio, o título da pagina sera usado"
"Images (%s)","Imagens (%s)"
"Insert File","Inserir Arquivo"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nome da pasta invalido. Use alfanuméricos, underlines e traços."
"Keywords","Palavras-Chaves"
"Last Modified","Última Modificação"
"Layout","Leiaute"
"Layout Update XML","Atualização de Leiaute XML"
"Link to a CMS Page","Link para uma pagina CMS"
"Manage Pages","Gerenciar Página"
"Media Storage","Armazenar mídia"
"Meta Data","Meta Tags da Página"
"Meta Description","Descrição da pagina"
"Meta Keywords","Palavras-Chave"
"New Block","Criar Bloco"
"New Folder Name:","Criar Pasta:"
"New Page","Criar Pagina"
"No files found","Nenhum arquivo encontrado"
"Page Information","Informações da Página"
"Page Layout","Leiaute da Pagina"
"Page Status","Status da Página"
"Page Title","Título da Página"
"Page URL Key cannot consist only of numbers.","A URL da pagina não pode ter apenas números"
"Page URL Key for specified store already exist.","A URL da Pagina especificada para a loja já existe."
"Page was successfully deleted","Pagina foi excluído com sucesso"
"Page was successfully saved","Pagina foi salvo com sucesso"
"Pages","Páginas"
"Product Tax Class Information","Informações Classe de Produto"
"Redirect to CMS-page if cookies are disabled","Redirecionar para página CMS se cookie estiver desativado"
"Relative to Website Base URL","Relativo ao URL Base do seu site"
"Save Block","Salvar"
"Save Page","Salvar"
"Save Process","Salvar Processo"
"Select Block...","Selecionar..."
"Select Page...","Selecionar..."
"Show Breadcrumbs for CMS pages","CMS Exibir Migalhas"
"Show Notice if JavaScript is disabled","Exibir alerta se Javascript estiver desativado"
"Static Blocks","Blocos Estáticos"
"Status","Status"
"Storage Root","Armazenamento"
"Store View","Visão"
"Such a block identifier in selected store already exist.","O identificador do bloco selecionado para a loja já existe."
"Such directory already exists. Try another folder name","O diretório já existe. Tente outro nome"
"Template","Modelo"
"The block has been deleted.","O bloco foi excluído."
"The block has been saved.","O bloco foi salvo."
"The directory %s is not writable by server.","O diretório %s não possui permissão de escrita no servidor."
"The page you are trying to save no longer exists","A pagina que você esta tentando salvar não existe mais"
"The page URL key cannot consist only of numbers.","A chave de URL não pode ser formada apenas por números."
"The page has been deleted.","A página foi excluída."
"The page has been saved.","A página foi salva."
"This Block no longer exists","Este bloco não existe mais"
"This block no longer exists.","Este bloco não existe mais."
"This page no longer exists.","Esta pagina não existe mais."
"Title","Título"
"URL Key","Nome na URL"
"Unable to find a block to delete","Não foi possível encontrar um bloco para excluir"
"Unable to find a page to delete","Não foi possível encontrar uma pagina para excluir"
"WYSIWYG Options","Opções WYSIWYG"
"px.","px."
