"* Required Fields","* Campos Obrigatórios"
"Comment","Comentários"
"Contact Form","Formulário de Contato"
"Contact Information","Informações de Contato"
"Contact Us","Fale Conosco"
"Contact Us Form","Formulário de Contato"
"Contacts","Contatos"
"Contacts Section","Seção Contatos"
"Email","Email"
"Email Options","Opções de Email"
"Email Sender","Remetente de Email"
"Email Template","Modelo de Email"
"Enable Contact Us","Habilitar Fale Conosco"
"Name","Nome"
"Send Emails To","Enviar Emails Para"
"Submit","Enviar"
"Telephone","Telefone"
"Unable to submit your request. Please, try again later","Não foi possível enviar sua solicitação. Tente novamente mais tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","As informações foram enviadas com sucesso e responderemos o mais breve possível. Obrigado por entrar em contato."
