"* Required Fields","* Campos Obrigatórios"
"A new password was sent","A nova senha foi enviada"
"Account Dashboard","Geral"
"Account Information","Dados de Acesso"
"Account Sharing Options","Opções de Compartilhamento"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Informações de Conta são obrigatórias. Verifique o link de confirmação do seu email. Para re-enviar a confirmação por email <a href=""%s"">clique aqui</a>."
"Account information was successfully saved","Informações de conta salva com sucesso"
"Action","Ação"
"Add New Address","Adicionar Endereço"
"Add New Customer","Criar Cliente"
"Add New Customer Group","Criar Grupo"
"Added From","Adicionado em"
"Additional Address Entries","Outros Endereços"
"Address","Endereços"
"Address Book","Meus Endereços"
"Address Books","Meus Endereços"
"Address Information","Informações de Endereço"
"Addresses","Endereços"
"Admin","Admin"
"All","Todos"
"All Store Views","Todas as Visões"
"All countries","Todos os Países"
"Always optional","Sempre opcional"
"Amount","Valor Pago"
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Deseja cancelar este endereço?"
"Are you sure you want to delete this address?","Deseja excluir este endereço?"
"Are you sure?","Você tem certeza?"
"Array of Entity collections is expected","Array da coleção de entidades é esperado"
"Assign a customer group","Associar ao Grupo..."
"Average Sale","Venda Média"
"Back","Voltar"
"Back - link to the previously viewed page","Voltar - link para a página anterior"
"Back to Login","Voltar"
"Bad request.","Problemas."
"Bill to Name","Nome de Cobrança"
"Bought From","Comprados"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de fechar uma compra com mais agilidade, cadastrar diversos endereços de entrega, acompanhar seus pedidos, entre outras vantagens."
"CSV","CSV"
"Can\'t save address","Não foi possível salvar o endereço"
"Can\'t save customer","Não foi possível o cliente"
"Can\'t share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Não foi possível compartilhar o cliente em uma conta global. Porque algumas contas de cliente usam o mesmo email em outros websites e isso impede a união."
"Cancel","Cancelar"
