" There was an error occurred during paying process.","Foi verificado um erro durante o processo de pagamento."
"An error has occured","Ocorreu um erro"
"An error occurred during the payment process.","Ocorreu um erro durante o processo de pagamento."
"Bank","Banco"
"Credit Mutuel","Crédito Mutuel"
"Customer Interface language","Idioma do Cliente"
"Customer has returned from Cybermut.","Cliente retornou do site Cybermut."
"Customer was redirected to Cybermut","Cliente foi redirecionado para Cybermut"
"Debug","Debug"
"Dutch","Holandês"
"Enabled","Habilitar"
"English","Inglês"
"French","Francês"
"German","Alemão"
"Groupe CIC","Grupo CIC"
"Italian","Italiano"
"Key","Chave"
"New Order Status","Nova Situação do Pedido"
"OBC","OBC"
"Order #%s","Pedido #%s"
"Order number will be used if left empty.","Número do pedido será usado se ficar em branco."
"Payment from Applicable Countries","Pagamento Permitido para Países"
"Payment from Specific Countries","Pagamento Específico para Países"
"Returned MAC is invalid. Order cancelled.","MAC retornado é inválido. Pedido Cancelado."
"SHA Key","Chave SHA"
"Site Code","Código do Site"
"Sort Order","Ordem dos Pedidos"
"Spain","Espanhol"
"TPE Number","Número TPE"
"Test Mode","Modo Teste"
"The customer successfully returned from Cybermut.","O cliente retornou com sucesso do site Cybermut."
"Title","Título"
"Transaction Description","Descrição da Transação"
"You will be redirected to Cybermut in a few seconds.","Você será redirecionado para o site da Cybermut em alguns segundos."
"You will be redirected to Cybermut website when you place an order.","Você será redirecionado para o site da Cybermut quando efetuar um pedido."
