"Account Login","Login da Conta"
"Account Password","Senha da Conta"
"Account Type","Tipo de Conta"
"Active","Ativo"
"Add Attribute Mapping","Criar Atributo"
"Add New Attribute","Criar Atributo"
"Add to Google Base","Adicionar ao Google Base"
"Are you sure?","Você tem certeza?"
"Attribute","Atributo"
"Attribute Set","Marcar Atributo"
"Attribute Set and Item Type","Marcar Atributo e Tipo do Item"
"Attributes","Atributos"
"Attributes Mapping","Mapear Atributos"
"Attributes Set","Atributos Marcados"
"AuthSub","AuthSub"
"Available Products","Produtos Disponíveis"
"British Pound Sterling","Libra Esterlina Britânica"
"Cannot update Google Base Item for Store '%s'","Não foi possível atualizar Google Base item da loja '%s'"
"Captcha confirmation error: %s","Erro de confirmação de Captcha: %s"
"Captcha has been confirmed.","Captcha confirmado com sucesso"
"Catalog","Catalogo"
"Clicks","Cliques"
"ClientLogin","Login Cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Mapa atual sera recarregado. Continuar?"
"Custom attribute, no mapping","Atributo personalizado, sem mapeamento"
"Delete","Excluir"
"Delete Mapping","Excluir Mapeamento"
"Edit Item Type","Editar Tipo Item"
"Edit Item Type ""%s""","Editar Tipo Item ""%s"""
"Error: %s","Erro: %s"
"Euro","Euro"
"Expires","Expira"
"Germany","Alemanha"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Atributo Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base Item Tipo"
"Google Base Item type","Google Base Item tipo"
"Google Base Items","Google Base Itens"
"Google base","Google base"
"Hide","Esconder"
"Hosted","Hosted"
"Hosted or Google","Hosted ou Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de produto invalido para item Google Base"
"Item Type was deleted","Tipo de Item foi excluído"
"Item Types","Tipos de Item"
"Item model is not specified to delete Google Base entry","Modelo item não foi especificado para excluir entrada no Google Base"
"Item model is not specified to delete Google Base entry.","Modelo item não foi especificado para excluir entrada no Google Base."
"Item type was successfully saved","Tipo de Item foi salvo com sucesso"
"Items","Itens"
"Manage Attribute Mapping","Mapeamento de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Items","Gerenciar Itens"
"New Item Type","Novo Tipo Item"
"New ItemType","Novo Tipo Item"
"No","Não"
"No items were deleted from Google Base","Nenhum item foi excluído do Google Base"
"No items were published","Nenhum item foi publicado"
"No items were saved as inactive items","Nenhum item foi salvo como item inativo"
"No products were added to Google Base","Nenhum produto foi adicionado ao Google Base"
"Object model is not specified to save Google Base entry","Modelo de objeto não especificado para salvar entrada no Google Base"
"Page views","Ver Páginas"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, selecione marcação de atributo e tipo item Google para carregar atributos"
"Product Name","Nome do Produto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Excluir"
"Save Mapping","Salvar"
"Session expired during export. Please, revise exported products and repeat a process if necessary","Sessão expirou durante o relatório. Revise a exportação de produtos e repita o processo se necessário"
"Synchronize","Sincronizar"
"Target Country","Pais Alvo"
"The item type has been saved.","O tipo do item foi salvo com sucesso."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta ação ira atualizar os itens de estatísticas e excluir itens que não esta disponíveis no Google Base. Continuar?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Total de %d itens(s) excluído com sucesso, Total de %d itens(s) atualizados com sucesso."
"Total of %d items(s) have been published.","Total de %d itens(s) publicados com sucesso."
"Total of %d items(s) have been removed from Google Base.","Total de %d itens(s) excluídos com sucesso do Google Base."
"Total of %d items(s) have been saved as inactive items.","Total de %d itens(s) salvos como inativos itens com sucesso."
"Total of %d product(s) have been added to Google Base.","Total de %d produto(s) adicionados ao Google Base com sucesso."
"US Dollar","Dólar Americano"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Não foi possível conectar ao Google Base. Por favor, selecione as configurações de conta."
"Unable to select a Store View.","Não foi possível selecionar visão."
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Update Google Base Item when Product is Updated","Atualizar Google Base item quando produto é atualizado"
"View Available Products","Ver produtos disponíveis"
"View Item in Google Base","Ver item no Google Base"
"Yes","Sim"
