"Absolute path to private certificate file.","Caminho absoluto para o arquivo de certificado privado."
"Absolute path to private key file.","Caminho absoluto para arquivo de chave privada."
"Absolute path to public payment provider certificate file.","Caminho absoluto para o arquivo de certificado de pagamento público."
"An error has occurred","Ocorreu um erro"
"An error has occurred with the transaction #%s.","Ocorreu um erro com a transação #%s."
"An error has occurred. You will be redirected back to store.","Ocorreu um erro. Você será redirecionado para a loja de origem."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. The transaction number is %s.","Ocorreu um erro enquanto era processado sua transação iDEAL. Entre em contato com a loja ou tente novamente. O número da transação é %s."
"Begin to check transaction status if order was made {N} hours ago.","Comece verificando o status da transação se o pedido foi feito a mais de {N} horas atrás."
"Check Begin","Verificação Iniciada"
"Check End","Verificação Finalizada"
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar comprando."
"Customer has canceled payment.","Cliente cancelou o pagamento."
"Customer has successfully returned from iDEAL.","Cliente retornou com sucesso do site iDEAL."
"Customer was redirected to iDEAL. Please, check the status of the transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Cliente foi redirecionado para iDEAL. Por favor, verifique o status da transação via Painel de Controle ING iDEAL antes de enviar os bens vendidos."
"Customer was rejected by iDEAL.","Cliente foi recusado pelo iDEAL."
"Debug","Debug"
"Do not check transaction status if order older than {N} days.","Não verifique o status da transação se o pedido tiver mais de {N} dias."
"Dutch","Holandês"
"Enabled","Habilitado"
"English","Inglês"
"Ideal: %s","Ideal: %s"
"In minutes. Minimum is 1 minute and maximum is 60.","Em minutos. Mínimo é 1 minuto e máximo é 60."
"Issuer","Emissor"
"Issuer: %s","Emissor: %s"
"Language","Idioma"
"Leave empty for default value.","Deixe em branco para valor padrão."
"Merchant ID","ID Vendedor"
"Merchant Key","Chave do Vendedor"
"New Order Status","Nova Situação do Pedido"
"Notification from iDEAL was received with status %s.","Notificação da iDEAL foi recebida com status %s."
"Notification from iDEAL was received with status %s. The invoice was created. Please check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Notificação da iDEAL foi recebida com status %s. A fatura foi criada. Verifique a situação da transação via Painel de Controle ING iDEAL antes de enviar o pedido."
"Payment from Applicable Countries","Pagamento Permitido para Países"
"Payment from Specific Countries","Pagamento Específico para Países"
"Payment was canceled by the customer.","Pagamento foi cancelado pelo cliente."
"Please Select","Selecione..."
"Private Certificate","Certificado Privado"
"Private Key","Chave Privada"
"Private Key Password","Senha da Chave Privada"
"Required fields are missing.","Campos obrigatórios estão faltando."
"Secure URL (production)","URL Segura (produção)"
"Secure URL (test mode)","URL Segura (modo teste)"
"Selected currency code (%s) is not compatible with iDEAL.","Código da moeda selecionada (%s) não é compatível com iDEAL."
"Sort Order","Ordem dos Pedidos"
"Store name will be used if left empty.","Nome da loja será usado se ficar em branco."
"Test Mode","Modo Teste"
"The customer canceled payment.","O cliente cancelou o pagamento."
"The customer has returned from iDEAL.","O cliente retornou da iDEAL."
"The customer was redirected to iDEAL.","O cliente foi redirecionado para iDEAL."
"Title","Título"
"Transaction Description","Descrição da Transação"
"Transaction Expire Period","Período da Transação Expirou"
"Transaction Status Update: canceled by the customer.","Status da Transação Atualizado: cancelado pelo cliente."
"Transaction Status Update: finished successfully.","Status da Transação Atualizado: finalizado com sucesso."
"Transaction Status Update: rejected by iDEAL.","Status da Transação Atualizado: não aceito pela iDEAL."
"You will be redirected to bank in a few seconds.","Você será redirecionado para o banco em alguns segundos."
"You will be redirected to iDEAL in a few seconds.","Você será redirecionado para o iDEAL em alguns segundos."
"You will be redirected to the website of your bank when you place an order.","Você será redirecionado para o site do seu banco quando finalizar um pedido."
"iDEAL Advanced","iDEAL Avançado"
"iDEAL Basic","iDEAL Básico"
"iDEAL Certificate","Certificado iDEAL"
