"%s Index process is working now. Please try run this process later.","%s Processo de indexação está em andamento. Tente executar este processo mais tarde."
"%s index was rebuilt.","%s índice foi reconstruído"
"%s' Index Process Information","%s' Informações do Processo de Indexação"
"%s' Index Process Information","%s' Informações do Processo de Indexação"
"Action","Ação"
"Cannot initialize the indexer process.","Não foi possível iniciar o processo de indexação."
"Change Index Mode","Modo Alterar Index"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Clique aqui para ir a página de <a href=""%s"">Gerenciamento de Cache</a> e atualizar os tipos de cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Clique aqui para ir a página de <a href=""%s"">Gerenciamento de Index</a> e reconstruir os índices obrigatórios."
"Description","Descrição"
"Disable","Desabilitar"
"Enable","Habilitar"
"General","General"
"Index","Index"
"Index Description","Descrição do Index"
"Index Management","Gerenciar Índices"
"Index Mode","Modo Index"
"Index Name","Nome do Index"
"Index mode","Modo index"
"Indexer code is not defined.","Código do Indexador não informado."
"Indexer model is not defined.","Modelo do Indexador não informado."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Modelo do Indexador precisa estender Mage_Index_Model_Indexer_Abstract."
"Last Run","Última Execução"
"Manual Update","Atualização Manual"
"Mode","Modo"
"Never","Nunca"
"One or more of the Indexes are not up to date:","Um ou mais índices não estão atualizados:"
"Pending Events","Eventos Pendentes"
"Please select Index(es)","Selecione os Index(es)"
"Please select Indexes","Selecione Indexes"
"Process Information","Informações de Processo"
"Processing","Processando"
"Ready","Pronto"
"Refresh","Atualizar"
"Reindex Data","Reindexar Dados"
"Reindex Required","Reindexação Obrigatória"
"Status","Status"
"System","Sistema"
"The index has been saved.","O índice foi salvo."
"There was a problem with reindexing process.","Houve um problema com processo de reindexar."
"There was a problem with saving process.","Houve um problema com processo de salvar."
"Total of %d index(es) have changed index mode.","Total de %d índice(s) com modo de índice alterados."
"Total of %d index(es) have reindexed data.","Total de %d índice(s) foram reindexados."
"Update on Save","Atualizado ao Salvar"
