"(Make sure you keep it in a safe place.)","(Guarde em um lugar seguro.)"
"(Optional. Leave blank for no prefix)","(Opcional. Deixe em branco para não usar prefixos)"
"(ver. %s)","(versão. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Caminho adicional criado após a URL Base para acessar seu painel de administrador (ex. admin, backend, control etc.)."
"Admin Path","Caminho Admin"
"After successfull installation please click the button below.","Depois da instalação com sucesso clique no botão abaixo."
"All packages were installed successfully, click 'Ok' to continue with installation","Todos os pacotes foram instalados com sucesso, clique em 'Ok' para continuar a instalação"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Você pode tentar uma alternativa 'Download Manual e Atualização' método"
"Base URL","Base URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de continuar sua loja, por favor anote sua chave de segurança (Magento utiliza para criptografar senhas, cartões de créditos, etc)."
"Check out our","Confira nossa"
"Check this box only if it is not possible to automatically validate Base URL.","Marque essa opções apenas se não for possível verificar automaticamente a URL Base."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marque essa opções apenas se não for possível verificar automaticamente a URL de Segurança, por exemplo se uma autenticação via HTTP for necessária"
"Check this box only if it is not possible to automatically validate the Base URL.","Marque essa opções apenas se não for possível verificar automaticamente a URL Base."
"Choose this if you would like to test frontend and backend functionality.","Escolha essa se você gostaria de testar o frontend e o backend funcionalidades."
"Configuration","Configurações"
"Confirm Password","Confirmar Senha"
"Connection","Conexão"
"Continue","Continuar"
"Continue After Manual Download","Continuar Depois do download manual"
"Continue Full Download / SVN Installation","Continuar Download Total / Instalação SVN"
"Create Admin Account","Dados de Administrador"
"Currently this is the most stable state available for Magento packages.","Atualmente esta eh a versão mais recente e estável do pacote Magento."
"Database","Banco de Dados"
"Database Connection","Conexão com Banco de Dados"
"Database Name","Nome do Banco de Dados"
"Database connection error","Erro de conexão com Banco de Dados"
"Database host","Host do Banco de Dados"
"Database server does not support InnoDB storage engine","Servidor do Banco de Dados não tem suporte a InnoDB"
"Database server version does not match system requirements (required: %s, actual: %s)","Servidor Banco de Dados versão não compatível com sistema (requerido: %s, atual: %s)"
"Database user name","Nome de Usuário do Banco de Dados"
"Database user password","Senha de Usuário do Banco de Dados"
"Default Currency","Moeda Base"
"Download","Download"
"Download Magento Core Modules and Updates","Download Magento Core Módulos e Atualizações"
"Downloading and installing Magento, please wait...","Baixando e instalação o Magento, aguarde..."
"Email","Email"
"Email Address","Endereço de Email"
"Enable this option only if you have SSL available.","Marque essa opção apenas se você tem um SSL disponível."
"Encryption Key","Chave de Criptografia"
"File System","Arquivo de sistema"
"First Name","Nome"
"Full Download / SVN Installation","Download Completo / Instalação SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Prepara-se para uma experiência envolvente com Comércio Eletrônico."
"Go to Backend","Ir para Backend"
"Go to Frontend","Ir para Frontend"
"Having trouble installing Magento?","Teve problemas com a instalação?"
"Help Us to Keep Magento Healthy","Ajude a manter o Magento Funcionando"
"Host","Host"
"I agree to the above terms and conditions.","Eu aceito os termos e condições."
"If you are a developer and would like to have the latest public updates, choose this option.","Se você e um desenvolvedor e deseja ter a ultima versão publicada, escolha essa opção."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Se você esta rodando PHP como CGT, seus processos PHP podem estar rodando o mesmo usuário que o usuário que você usa para fazer upload dos arquivos Magento."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Se você esta rodando a instalação automática usando a versão baixada e instalando o Magento, continue com este método"
