"
                                Use in posting data from Magento to Ogone. <br/>
                                Use in data checking by Ogone before the payment.
                            ","                                 Usar dados enviados pelo Magento para Ogone. <br/>                                 Usar dados de validação do Ogone antes do pagamento.                             "
"
                                Use in posting data from Ogone to Magento. <br/>
                                Use in feedback data checking by Magento
                            ","
                                Usar dados enviados do Ogone para o Magento. <br/>
                                Usar dados de retorno verificados pelo Magento
                            "
"Authorization","Autorização"
"Authorization Waiting from Ogone","Aguardando Autorização do Ogone"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Autorização desconhecida: Um problema técnico ocorreu durante o processo de autorização, gerando um resultado inesperado"
"Background Color of Ogone Template","Cor de Fundo do Template Ogone"
"Button Background Color of the Ogone Template","Cor de Fundo do Botão do Template Ogone"
"Button Text Color of the Ogone Template","Cor de Texto do Botão do Template Ogone"
"Cancelled Ogone","Cancelado pelo Ogone"
"Debug","Debug"
"Declined Ogone","Não Aceito pelo Ogone"
"Declined Order on Ogone side.","Pedido Ignorado pelo site Ogone."
"Direct Sale","Venda Direta"
"E.g: ""Verdana"".","Ex: ""Verdana""."
"E.g: ""black"".","Ex: ""black""."
"E.g: ""white"".","Ex: ""white""."
"Enabled","Habilitar"
"Exception not defined","Exceção não informada"
"Font Family of the Ogone Template","Tipo de Fonte Texto para o Template Ogone"
"For production, replace ""test"" with ""prod"". Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","Para produção, altere ""teste"" por ""prod"". Exemplo: https://secure.ogone.com/ncol/prod/orderstandard.asp"
"Gateway URL","Gateway URL"
"Horizontally grouped logo with group name on left","Logo agrupado horizontalmente com nome do grupo a esquerda"
"Horizontally grouped logo with no group name","Logo agrupado horizontalmente com nome do grupo vazio"
"If you choose ""No Operation"", Ogone will use default payment procedure setup in Ogone configuration.","Se você escolher ""Sem Operação"", Ogone irá usar o procedimento de pagamento padrão nas opções de configuração Ogone."
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","Se você escolher ""Template Ogone"", será necessário preencher todos os campos abaixo."
"Layout of Payment Methods","Leiaute do Método de Pagamento"
"Logo of the Ogone Template","Logo do Template Ogone"
"Magento","Magento"
"Ogone","Ogone"
"Ogone Default Operation","Operação Padrão Ogone"
"Order can\'t save","Pedido não pode ser salvo"
"PSPID","PSPID"
"Payment Action","Ação de Pagamento"
"Payment Template","Template de Pagamento"
"Payment transaction has been declined.","Transação de pagamento foi abandonada."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","Pagamento não confirmado: Ocorreu um problema técnico durante o processo de pagamento, gerando um resultado inesperado"
"Pending Ogone","Pendente Ogone"
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Por favor, aguarde o momento. Esta página irá transmitir os dados de pagamento do gateway Ogone em alguns segundos."
"Processed Ogone Payment","Pagamento Processado pelo Ogone"
"Processed by Ogone","Processado pelo Ogone"
"Processing Ogone Payment","Processando Pagamento Ogone"
"SHA-1- OUT Signature","SHA-1- OUT Assinatura"
"SHA-1-IN Signature","SHA-1-IN Assinatura"
"Start Ogone Processing","Iniciado Processo Ogone"
"Table Background Color of the Ogone Template","Cor de Fundo da Tabela do Template Ogone"
"Table Text Color of the Ogone Template","Cor do Texto da Tabela do Template Ogone"
"Text Color of the Ogone Template","Cor do Texto do Template Ogone"
"The hash is not valid","O hash não é válido"
"The order cannot be canceled for a system reason.","O pedido não pode ser cancelado por razões de sistema."
"The order cannot be saved for a system reason.","O pedido não pode ser salvo por razões de sistema."
"The order cannot be saved.","O pedido não pode ser salvo."
"The order is not valid","O pedido não é válido"
"The order was canceled on ogone side.","O pedido foi cancelado pelo site ogone."
"Title","Título"
"Title of the Ogone Template","Título do Template Ogone"
"URL/filename of the logo.<br />The URL must be absolute and stored on a secure server.","URL/arquivo da logo.<br />A URL precisa ser absoluta e armazenada em um servidor seguro."
"Unknown exception","Exceção desconhecida"
"Verical list","Lista Vertical"
"Waiting Authorization","Aguardando Autorização"
"You can arrange the layout/list of the payment methods on Ogone payment page.","Você pode organizar a lista/leiaute dos métodos de pagamento da página de pagamentos da Ogone."
"You will be redirected to Ogone website when you place an order.","Você será redirecionado para o site da Ogone quando realizar um pedido."
