"%s Store","%s Loja"
"About Your Order","Sobre Seu Pedido"
"Account Information","Informações da Conta"
"Adapter Name","Nome da Fonte"
"Arabic","Arábia"
"Back","Voltar"
"Back to My Orders","Voltar Para Meus Pedidos"
"Baltic","Báltico"
"Billing Address","Endereço de Cobrança"
"Billing to Name","Nome de Cobrança"
"Categories","Categorias"
"Category %s cannot be saved because of %s.","Categoria %s não pode ser salva por causa do %s."
"Central European","Europa Central"
"Check Requirements","Verificar Requisitos"
"Comments History","Histórico de Comentários"
"Create under default website","Criar sob website padrão"
"Created At","Criado Em"
"Currency","Moeda"
"Customer Name","Nome de Cliente"
"Customers","Clientes"
"Cyrillic","Cirílico"
"DB Name","Nome do Banco de Dados"
"DB Password","Senha do Banco de Dados"
"DB Username","Usuário do Banco de Dados"
"Database Connection Charset","Charset de Conexão do Banco"
"Database Data Charset","Charset dos Dados do Banco"
"Date","Data"
"Delete Profile","Apagar Perfil"
"Delivery Address","Endereço de Entrega"
"East Asian","Leste Asiático"
"Edit osCommerce Profile","Editar Perfil osCommerce"
"Edit osCommerce Profile :: %s","Editar Perfil osCommerce :: %s"
"Email","Email"
"Email %s cannot be saved because of %s.","Email %s não pode ser salvo por causa do %s."
"Error for checking store locale!","Erro ao verificar localização da loja!"
"Final Price","Preço Final"
"Finished profile execution.","Execução de perfil finalizado."
"General Information","Informações Gerais"
"Greek","Grécia"
"Hebrew","Hebreu"
"ID","ID"
"IP or Hostname","IP ou Nome do Host"
"Import Options","Importar Opções"
"Import and Export","Importar e Exportar"
"Importing...","Importando..."
"Items Ordered","Itens Solicitados"
"Japanese","Japonês"
"Korean","Coreano"
"Languages table error ","Erro na tabela de idiomas"
"Locale Selection","Selecionar Idioma"
"My Previous Orders","Meus Pedidos Anteriores"
"Name","Nome"
"Need to check Customers for Orders","Necessário verificar clientes para Pedidos"
"New Profile","Novo Perfil"
"New osCommerce Profile","Novo Perfil osCommerce"
"No osCommerce profile","Sem Perfil osCommerce"
"No osCommerce profile loaded...","Nenhum Perfil osCommerce Carregado..."
"Notice: Please place all images under MAGENTO_ROOT/media/import/ with writable permission to all files including sub folders.","Informação: Mova todas as imagens para o diretório MAGENTO_ROOT/media/import/ com permissão de escrita para todas as pastas e imagens."
"Order","Pedido"
"Order #","Pedido #"
"Order # %s","Pedido # %s"
"Order #%s failed to import because the customer ID #%s associated with this order could not be found.","Pedido #%s falhou ao importar porque o ID do cliente #%s associado a este pedido não foi localizado."
"Order Date","Data do Pedido"
"Order Date:","Data do Pedido:"
"Order Status","Status do Pedido"
"Order Total","Total do Pedido"
"Order Totals","Total Geral do Pedido"
"Orders","Pedidos"
"Payment Information","Informação de Pagamento"
"Please check at least an option in Import Options\n","Por favor verifique pelo menos uma das opções de importação\n"
"Please check default website or input website code in General Information\n","Por favor verifique o website padrão ou o código do website nas Informações Gerais\n"
"Please select a timezone\n","Selecione um fuso horário\n"
"Port (Default as 3306)","Porta (Padrão 3306)"
"Prefix","Prefixo"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do Produto"
"Products","Produtos"
"Purchased Date","Data da Compra"
"Purchased Month","Mês da Compra"
"Purchased Year","Ano da Compra"
"Qty","Qtd"
"Qty Ordered","Qtd Pedido"
"Root Category for %s","Categoria Principal para %s"
"Run Profile","Rodar Perfil"
"SKU","SKU"
"SKU %s cannot be saved because of %s.","SKU %s não pode ser salvo porque o  %s."
"Sales","Vendas"
"Save Profile","Salvar Perfil"
"Save and Continue Edit","Salvar e Continuar Editando"
"Select a Connection Charset","Selecione um Charset de Conexão"
"Select a Data Charset","Selecione um Charset de Dados"
"Select a timezone","Selecione um fuso horário"
"Select a website","Selecione um website"
"Send Subscription Notification to Customers","Enviar notificação de assinatura para os Clientes"
"Ship To","Entregar Para"
"Ship to Name","Nome para Entrega"
"Shipping & Handling Information","Informações de Embalagem e Entrega"
"Shipping Address","Endereço de Entrega"
"Shipping Method","Forma de Envio"
"Simplified Chinese","Chinês Simplificado"
"South Asian","Sul da Ásia"
"Start Running","Iniciar"
"Starting profile execution, please wait...","Execução de perfil iniciado, aguarde..."
"Subtotal","Subtotal"
"System","Sistema"
"Thai","Tailandês"
"The data has been imported.","Os dados foram importados."
"The osCommerce profile has been deleted.","O perfil osCommerce foi excluído."
"The osCommerce profile has been saved.","O perfil osCommerce foi salvo."
"This order no longer exists.","O pedido não existe mais."
"Timezone","Fuso Horário"
"To import orders, Magento requires that customers also be imported.","Para importar pedidos, Magento exige que os clientes também sejam importados."
"Total imported <strong>%s</strong> records (%s)","Total importado <strong>%s</strong> registros (%s)"
"Traditional Chinese","Chinês Tradicional"
"Unicode","Unicode"
"Updated At","Atualizado Em"
"View #%s","Visualizar #%s"
"View Order","Visualizar Pedido"
"Warning: Please do not close window during importing/exporting data.","Atenção: Não feche a janela durante a importação/exportação de dados."
"Website Code","Código do Website"
"Western","Oeste"
"osCommerce","osCommerce"
"osCommerce Orders","Pedidos osCommerce"
"osCommerce Profile","Perfil osCommerce"
"osCommerce Profiles","Perfis osCommerce"
"processed <strong>%s%% %s/%s</strong> records","processado <strong>%s%% %s/%s</strong> registros"
"records","registros"
