"%s Item(s)","%s Item(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008~2010 Loja Demonstração Magento. Todos os Direitos Reservados."
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para mudar o valor"
"(ver. %s)","(versão. %s)"
"- Click on any of the time parts to increase it","- Clique em qualquer parte da hora para aumentar"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse ou qualquer outro botão para uma seleção rápida."
"- Use the %s buttons to select month","- Use o %s botão para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use o %s, %s botão para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuir"
"- or click and drag for faster selection.","- ou clique e arraste para uma seleção rápida."
"-- Please Select --","Selecione..."
"1 column","1 coluna"
"2 columns with left bar","2 colunas com menu a esquerda"
"2 columns with right bar","2 colunas com menu a direita"
"3 columns","3 colunas"
"About the calendar","Sobre o calendário"
"All Empty Layout Pages","Todas as Páginas Leiaute em Branco"
"All One-Column Layout Pages","Todas as Páginas Leiaute Uma Coluna"
"All Pages","Todas as Páginas"
"All Pages (Print Version)","Todas as Páginas (Versão Impressão)"
"All Three-Column Layout Pages","Página Leiaute Com Três Colunas"
"All Two-Column Layout Pages (Left Column)","Página Leiaute Com Duas Colunas (Coluna Esquerda)"
"All Two-Column Layout Pages (Right Column)","Página Leiaute Com Duas Colunas (Coluna Direita)"
"Click <a href=""%s"">here</a> if nothing has happened","Clique <a href=""%s"">aqui</a> se nada acontecer"
"Close","Fechar"
"Close Window","Fechar Janela"
"DHTML Date/Time Selector","DHTML Data/Hora Seletor"
"Date selection:","Selecionar data:"
"Default Description","Descrição Padrão"
"Default welcome msg!","Mensagem de boas vidas padrão!"
"Display %s first","Mostrar %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a licença GNU LGPL. Veja %s para detalhes."
"Drag to move","Arrastar para mover"
"Empty","Em Branco"
"For latest version visit: %s","Para última versão visite: %s"
"Free Shipping on orders over 50$","Entre grátis para pedidos acima de 50$"
"Go Today","Ir Hoje"
"Help Us to Keep Magento Healthy","Ajude a manter a qualidade do Magento"
"Interface Language","Idioma do Sistema"
"Items %s to %s of %s total","Itens %s para %s do %s total"
"JavaScript seem to be disabled in your browser.","JavaScript parece estar desabilitado no seu navegador."
"Left Column","Coluna da Esquerda"
"Main Content Area","Área de Conteúdo"
"Next","Próximo"
"Next month (hold for menu)","Próximo mês (segurar para menu)"
"Next year (hold for menu)","Próximo ano (segurar para menu)"
"Page Footer","Página Rodapé"
"Page Header","Página Cabeçalho"
"Page:","Página:"
"Prev. month (hold for menu)","Mês Anterior (segurar para menu)"
"Prev. year (hold for menu)","Ano Anterior (segurar para menu)"
"Previous","Anterior"
"Redirecting...","Redirecionando..."
"Report All Bugs","Reporte os Problemas"
"Right Column","Coluna da Direita"
"Select Store","Selecionar Loja"
"Select Store:","Selecionar Loja:"
"Select date","Selecionar data"
"Show","Exibir"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja de demonstração. Qualquer pedido feito nesta loja não será atendido ou entregue."
"Time selection:","Selecionar Hora:"
"Time:","Hora:"
"We detected that your JavaScript seem to be disabled.","Detectamos que seu Javascrit está desativado."
"Welcome, %s!","Bem-Vindo, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Você precisa habilitar o Javascript no seu navegador para utilizar as funcionalidades deste site."
"Your Language","Seu Idioma"
"Your Language:","Visão:"
"per page","por página"
