"2-pixel perimeter around the header space.","2 perímetro-pixel em torno do espaço do cabeçalho."
"3D Secure Card Validation","3D Secure validação de cartão"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a>","<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Crie uma conta vendedor PayPal agora!</a>"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">See Demo</a>","<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Crie uma conta vendedor PayPal agora!</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">Veja uma demonstração</a>"
"API Password","API senha"
"API Signature","API assinatura"
"API Username","API Username"
"AcCEPtance Mark","Marca aceita"
"AcCEPtance Mark Image","Aceito marca de imagem"
"Address Verification System Response","Resposta do sistema de verificação de endereços"
"All the address information matched","Todos os endereços informados batem"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores permitidos: ""paypal"", ""primary"" (default), your_custom_value (um estilo de página de pagamento padrão para seu perfil de conta vendedor)."
"Allowed Credit Card Types","Tipos de cartão de crédito permitidos"
"Attempted Authentication, Bad Result","Tentativa de autenticação, resultado ruim"
"Attempted Authentication, Good Result","Tentativa de autenticação, bom resultado"
"Authenticated, Bad Result","Autenticado, resultado ruim"
"Authenticated, Good Result","Autenticado, bom resultado"
"Authorization","Autorização"
"Authorization expired.","Autorização expirou."
"Authorization transaction is required to void.","Transação da autorização precisa ter retorno."
"Authorization was voided by merchant.","Autorização retornada pelo vendedor."
"Authorize and Capture","Autorizar e capturar"
"Billing Address","Endereço de cobrança"
"Billing Information","Informações de cobrança"
"Business Account","Conta Empresarial"
"Buttons Flavor (Website Payments Pro)","Botão legal (Website Pagamentos Pro)"
"CVV2 Check Result by PayPal","CVV2 Check Resultados do PayPal"
