"AUTHENTICATE","AUTENTICADO"
"An error has occurred","Ocorreu um erro"
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar comprando."
"Customer was redirected to Protx","Cliente foi redirecionado para Protx"
"DEFERRED","NEGADO"
"Debug","Debug"
"Enabled","Habilitado"
"General contact email will be used if left empty.","E-mail de contato geral será usado se ficar em branco."
"Live","Ligado"
"Mode","Modo"
"New Order Status","Nova Situação do Pedido"
"Order total amount does not match protx gross total amount","Valor total do pedido não confere com total calculado pelo protx"
"PAYMENT","PAGAMENTO"
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento Permitido para Países"
"Payment from Specific Countries","Pagamento Específico para Países"
"Protx Standard","Protx Padrão"
"Simulator","Simulador"
"Sort Order","Ordem dos Pedidos"
"Store name will be used if left empty.","Nome da loja será usado se ficar em branco."
"Test","Teste"
"The customer has returned from Protx.","O cliente retornou para Protx."
"The order %s was canceled by the customer.","O pedido %s foi cancelado pelo cliente."
"Title","Título"
"Transaction Description","Descrição da Transação"
"Vendor Email","e-mail do Vendedor"
"Vendor Email Notification","Notificação de e-mail do Vendedor"
"Vendor Encrypted Password","Senha Criptografada do Vendedor"
"Vendor Name","Nome do Vendedor"
"You will be redirected to protx in a few seconds.","Você será redirecionado para protx em alguns segundos."
"You will be redirected to the Protx website when you place an order.","Você será redirecionado para o site Protx quando finalizar um pedido."
