"Abandoned Carts","Carrinhos Abandonados"
"Abandoned carts","Carrinhos Abandonados"
"Action","Ações"
"Add to Cart","Comprar"
"Add to Compare","Comparar"
"Add to Wishlist","Favoritos"
"Any","Qualquer"
"Applied Coupon","Usar Cupom"
"Applies to Any of the Specified Order Statuses","Aplicar para qualquer ordem de status especificado"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Tem certeza que deseja atualizar o período das estatísticas? Isto pode afetar a performance impacto durante esta operação."
"Are you sure?","Você tem certeza?"
"Avg. Approved Rating","Média Aprovada"
"Avg. Rating","Avaliação Média"
"Bestsellers","Mais Vendidos"
"Bought from wishlists","Comprado dos favoritos"
"CSV","CSV"
"Carts","Carrinhos"
"Compared Products Grid Template","produtos comparados no modelo tabelas"
"Compared Products List Template","produtos comparados no modelo lista"
"Coupon Code","Código de Cupom"
"Coupons","Cupons"
"Coupons Usage Report","Relatório de Cupons Utilizados"
"Created At","Criado em"
"Current Month Starts","O Mês Inicia"
"Customer","Cliente"
"Customer Name","Nome dos Clientes"
"Customer Tags","Tags dos Clientes"
"Customers","Clientes"
"Customers Report","Relatório Clientes"
"Customers Reviews","Comentários dos Clientes"
"Customers Tags","Tags Clientes"
"Customers by Number of Orders","Número de Pedidos"
"Customers by Orders Total","Total de Pedidos"
"Customers by number of orders","Número de Pedidos"
"Customers by orders total","Total de Pedidos"
"Customers that have wishlist: %s%","Clientes que tem produtos favoritos: %s%"
"Dashboard","Painel"
"Day","Dia"
"Default Recently Compared Products count","Contador de produtos comparados recentemente padrão"
"Default Recently Viewed Products count","Contador de produtos visualizados recentemente padrão"
"Description","Descrição"
"Detail","Detalhes"
"Discount Amount","Total desconto"
"Downloads","Downloads"
"Email","Email"
"Empty Rows","Linhas vazias"
"Excel","Excel"
"Filter","Filtrar"
"First Name","Nome"
"From","De"
"Guest","Visitante"
"Hits","Cliques"
"ID","ID"
"IP Address","Endereço IP"
"Index model name must be defined","Nome do modelo indexado precisa ser definido"
"Invalid date specified.","Data especificada é inválida."
"Invoiced","Faturado"
"Items in Cart","Itens no carrinho"
"Last Name","Sobrenome"
"Last Review","Último Comentário"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista dos produtos recentemente comparados e removidos da lista de comparação do visitante"
"List of Products Recently Viewed by Visitor","Lista dos produtos visualizados recentemente pelos visitantes"
"Low Stock","Baixo Estoque"
"Low stock","Baixo Estoque"
"Match Period To","Coincidir Período Para"
"Month","Mês"
"Most Viewed","Mais Populares"
"Most viewed","Mais vistos"
"Name","Nome"
"New Accounts","Novos Cadastros"
"No","No"
"No records found for this period.","Nenhum registro encontrado neste período"
"Number Added","Número adicionado"
"Number Fulfilled","Número realizado"
"Number Of Historical Uses","Histórico de Usos"
"Number Of Reviews","Número de Comentários"
"Number Of Uses","Número de usos"
"Number Purchased","Número de compras"
"Number Viewed","Número de visualizações"
"Number of Invoiced Orders","Número de pedidos faturados"
"Number of Items","Número de itens"
"Number of New Accounts","Número de Novas Contas"
"Number of Orders","Número de pedidos"
"Number of Products to display","Exibir Quantidade"
"Number of Refunded Orders","Número de pedidos reembolsados"
"Number of Reviews","Número de Comentários"
"Number of Times Deleted","Número de Vezes Excluído"
"Number of Total Tags","Total de Tags"
"Number of Unique Tags","Tags únicas"
"Number of Use","Número de Usos"
"Number of Views","Num. Acessos"
"Number of items bought from a wishlist: %s","Número de itens colocados como favoritos: %s"
"Number of times deleted","Número de itens excluídos"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que os favoritos foram compartilhados (enviados): %s"
"Number of wishlist conversions: %s","Número de conversões dos favoritos: %s"
"Number of wishlist referrals: %s","Número de referências a favoritos: %s"
"Number of wishlists: %s","Número de favoritos: %s"
"Offline Refunded","Reembolso Offline"
"Online Refunded","Reembolso Online"
"Order Status","Situação do Pedido"
"Order Taxes Report Grouped by Tax Rate","Relatório de Imposto"
"Order Taxes Report Grouped by Tax Rates","Relatório de Impostos"
"Orders","Pedidos"
"Out of stock","Esgotado"
"Period","Período"
"Poducts Report","Relatório de Produtos"
"Popular Tags","Tags Populares"
"Popularity","Popularidade"
"Price","Valor Produto"
"Product Name","Nome"
"Product Reviews","Produtos Comentados"
"Product SKU","SKU Produto"
"Product Tags","Tags produtos"
"Products","Produtos"
"Products Ordered","Produtos Pedidos"
"Products Report","Produtos Relatório"
"Products Reviews","Produtos Comentados"
"Products Tags","Tags Produtos"
"Products in carts","Produtos no Carrinho"
"Promotion Coupons Usage Report","Promoção Cupons Usos Relatórios"
"Purchases","Compras"
"Quantity Ordered","Num. Vendas"
"Quantity of Items","Quantidade de itens"
"Recently Compared","Produtos Comparados"
"Recently Compared Products","Produtos Comparados"
"Recently Viewed","Visualizados Recentemente"
"Recently Viewed Products","Visualizados Recentemente"
"Recently Viewed/Compared Products","Produtos Visualizados Recentemente/Comparados"
"Refresh Lifetime Statistics","Atualizar Período Estatísticas"
"Refresh Statistics","Atualizar Estatísticas"
"Refresh Statistics for the Last Day","Atualizar Estatísticas para Último Dia"
"Refunds","Restituições"
"Report","Relatório"
"Report Type","Tipo de Relatório"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Lucro"
"Review","Análise"
"Reviews","Análises"
"Reviews for %s","Análises para %s"
"Sales","Vendas"
"Sales Report","Relatório de Vendas"
"Search Query","Termos Digitados"
"Search Terms","Termos de Pesquisa"
"Select day of the month","Selecione um dia do mês"
"Shipping","Entrega"
"Shopping Cart","Carrinho de Compras"
"Show Actual Values","Exibir Valores Atuais"
"Show Report","Exibir Relatório"
"Show for Current","Exibir Atual"
"Specified","Especificado"
"Statistics","Estatísticas"
"Stock Qty","Qtd em Estoque"
"Submitted In","Enviado em"
"Submitted On","Enviado sobre"
"Subtotal","Subtotal"
"Subtotal Amount","Valor Subtotal"
"Tag","Tag"
"Tag ""%s"" details","Tag ""%s"" detalhes"
"Tag Detail","Tag Detalhes"
"Tag Name","Tag"
"Tag Use","Tag usada"
"Tags Submitted by %s","Tags enviadas por %s"
"Tags submitted to %s","Tags enviadas para %s"
"Tax","Imposto"
"Title","Título"
"To","Para"
"Total","Total"
"Total Amount","Total Valor"
"Total Invoiced","Faturado"
"Total Invoiced Captured","Total Faturado Capturado"
"Total Invoiced vs. Paid Report","Relatório de Faturas e Pagamentos"
"Total Invoiced not Captured","Total Faturado no Capturado"
"Total Ordered Report","Relatório de Vendas"
"Total Refunded","Reembolsado"
"Total Refunded Report","Relatório de Reembolsos"
"Total Shipped Report","Relatório de Entregas"
"Total Tags","Total Tags"
"Total invoiced","Total faturado"
"Total refunded","Total reembolsado"
"Updated At","Atualizado em"
"Updated at","Atualizado em"
"Viewed Products Grid Template","Visualizado Produtos Tabela Modelo"
"Viewed Products List Template","Visualizado Produtos Lista Modelo"
"Visible In","Visível Em"
"Wishlist Report","Relatório de Favoritos"
"Wishlist vs. Regular Order","Favoritos vs. Pedidos Regulares"
"Wishlists","Favoritos"
"Year","Ano"
"Year-To-Date Starts","Iniciar na Data"
"Yes","Sim"
"Your Recently Compared","Comparações Recentes"
"Your Recently Viewed","Visualizados Recentemente"
"undefined","não definido"
