"ALL","TODAS"
"ANY","QUALQUER"
"Add","Adicionar"
"Apply","Aplicar"
"Conditions Combination","Combinação de Condições"
"Description: %s","Descrição: %s"
"End Date should be greater than Start Date","Data final deve ser maior que Data inicial"
"Expire at: %s","Finaliza em: %s"
"FALSE","FALSA"
"If %s of these conditions are %s:","Se %s condições forem %s:"
"Invalid discount amount.","Total do desconto inválido."
"MATCHING ALL","COMBINAR TODOS"
"MATCHING ANY","QUALQUER COMBINAÇÃO"
"NOT MATCHING ALL","NãO COMBINAR NADA"
"NOT MATCHING ANY","NãO COMBINAR QUALQUER"
"Name: %s","Nome: %s"
"Open Chooser","Abrir Escolha"
"Perform following actions","Executar ações seguintes"
"Please choose a condition to add...","Selecionar condição..."
"Please choose an action to add...","Selecionar ação..."
"Remove","Excluir"
"Start at: %s","Inicia em: %s"
"TRUE","VERDADEIRA"
"by","por"
"contains","contém"
"does not contain","não contém"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"greater than","maior que"
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menor que"
"to","para"
