" The customer doesn\'t exist in the system anymore"," O cliente não existe mais no sistema"
"""%s"" coupon code is not valid.","""%s"" código do cupom não é válido."
"%s","%s"
"%s / %s rate:","%s / %s taxa:"
"%s for %s","%s por %s"
"%s order(s) cannot be canceled","%s pedido(s) não pode ser cancelado"
"%s order(s) have been canceled.","%s pedido(s) cancelado com sucesso"
"%s order(s) have been put on hold.","%s pedido(s) segurado(s) com sucesso."
"%s order(s) have been released from holding status.","%s pedido(s) liberado(s) com sucesso."
"%s order(s) were not put on hold.","%s pedido(s) não segurado(s)."
"%s order(s) were not released from holding status.","%s pedido(s) não liberado(s)."
"* - Enter custom price excluding tax","* - Informe um preço customizado excluindo taxas"
"* - Enter custom price including tax","* - Informe um preço customizado incluindo taxas"
"-- Please Select --","Selecione..."
"-- Please Select Billing Agreement--","Selecione Termos de Cobrança"
"About This Order:","Sobre Este Pedido:"
"About This Profile:","Sobre Este Perfil:"
"About Your Order","Sobre Seu Pedido"
"Accept Payment","Pagamento Aceito"
"Accept or Deny Payment","Aceitar ou Recusar Pagamento"
"Account Information","Dados do Cliente"
"Action","Ação"
"Actions","Ações"
"Activate","Ativado"
"Active","Ativar"
"Add","Adicionar"
"Add Gift Messsage","Adicionar Mensagem de Presente"
"Add New Address","Novo Endereço"
"Add Order Comments","Incluir Comentários"
"Add Products","Criar Produtos"
"Add Selected Product(s) to Option","Adicionar Produtos Selecionados para Opção"
"Add Selected Product(s) to Order","Adicionar Produtos Selecionados ao Pedido"
"Add To Order","Adicionar ao Pedido"
"Add Tracking Number","Incluir Rastreador"
"Add a gift message for <strong>each gift item</strong>","Adicionar uma mensagem de presente para <strong>cada item</strong>"
"Add a gift message for the <strong>entire order</strong>","Adicionar uma mensagem de presente para <strong>todo o pedido</strong>"
"Add comment to order","Incluir comentário no pedido"
"Add new comment to shipment","Incluir novo comentário a entrega"
"Add new tracking number","Incluir Novo Rastreador"
"Add to Cart","Comprar"
"Address","Endereço"
"Address model is not defined.","Modelo de endereço não foi definido."
"Address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract","Modelo de endereço total precisa ser extensão de Mage_Sales_Model_Quote_Address_Total_Abstract"
"Adjustment Fee","Taxa de Manutenção"
"Adjustment Refund","Ajustar Reembolso"
"Agreement Information","Informações de Contrato e Termos"
"Allow Reorder","Permitir Recompra"
"Amount","Valor"
"Amount of %s pending approval on gateway.","Valor de %s pendente para aprovação pelo gateway."
"Amount: %s.","Valor: %s."
"An item option with code %s already exists.","Uma opção do item com código %s já existe."
"Append Comments","Permitir Comentários"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Cupom Promocional"
"Approved the payment online.","Pagamento online aprovado."
"Are you sure you want to accept this payment?","Você tem certeza de que deseja aceitar este pagamento?"
"Are you sure you want to cancel this order?","Deseja cancelar este pedido?"
"Are you sure you want to deny this payment?","Você tem certeza de que deseja recusar este pagamento?"
"Are you sure you want to do this?","Você está certo disso?"
"Are you sure you want to send Creditmemo email to customer?","Deseja enviar um email de Reembolso para o cliente?"
"Are you sure you want to send Invoice email to customer?","Deseja enviar um email da Fatura para o cliente?"
"Are you sure you want to send Shipment email to customer?","Deseja enviar um email da Entrega para o cliente?"
"Are you sure you want to send order email to customer?","Deseja enviar um email do Pedido para o cliente?"
"Are you sure you want to void the payment?","Deseja devolver o pagamento?"
"Are you sure?","Tem certeza?"
"Are you sure? This order will be canceled and a new one will be created instead","Tem certeza? Este pedido será cancelado e um novo pedido será criado"
"At least a payment ID must be set.","Ao menos um ID de identificação deve ser informado."
"Authorization","Autorização"
"Authorized amount of %s.","Valor autorizado em %s."
"Authorizing amount of %s is pending approval on gateway.","Valor a ser autorizado %s está pendente pelo gateway."
"Back","Voltar"
"Back to Billing Agreements","Voltar para Termos de Cobrança"
"Back to My Orders","Voltar"
"Back to Recurring Profiles","Voltar para Perfis Recorrentes"
"Backordered","Pedido Cancelado"
"Bestsellers","Mais Vendidos"
"Bill to First name","Nome"
"Bill to Last name","Sobrenome"
"Bill to Name","Cliente"
"Billing","Cobrança"
"Billing Address","Endereço de Cobrança"
"Billing Agreement","Termos de Cobrança"
"Billing Agreement # %s","Termos de Cobrança # %s"
"Billing Agreement #%s","Termos de Cobrança #%s"
"Billing Agreement View","Ver Termos de Cobrança"
"Billing Agreements","Termos de Cobrança"
"Buy %s for price %s","Compra %s pelo preço %s"
"Can not add order history.","Não foi possível adicionar histórico do pedido."
"Can not do invoice for order.","Não foi possível faturar o pedido."
"Can not do shipment for order.","Não foi possível entregar o pedido."
