"Actions","Ações"
"Active","Ativo"
"Add New Rule","Criar Regra"
"Apply","Aplicar"
"Apply To","Aplicar Para"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar regra somente para as seguintes condições (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar somente para os itens do carrinho com as condições abaixo (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar regra para os itens do carrinho que coincidem com as seguintes condições"
"Apply to Shipping Amount","Aplicar ao Valor de Entrega"
"Auto","Auto"
"Buy X get Y free (discount amount is Y)","Compre X leve Y Grátis"
"By Fixed Amount","Valor Fixo no Preço do Produto"
"By Fixed value","Por valor fixo"
"By Percentage","Por Porcentagem"
"By Percentage of the original price","Valor Percentual % no Preço do Produto"
"Can\'t acquire coupon.","Não foi possível obter o cupom."
"Cart Attribute","Atributos carrinho"
"Catalog","Catálogo"
"Conditions","Condições"
"Conditions combination","Condições combinação"
"Coupon","Cupom"
"Coupon Code","Código Cupom"
"Coupon code","Código Cupom"
"Customer Groups","Grupo de Clientes"
"Customer is new buyer: %s","Cliente é novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Date Expire","Data Fim"
"Date Start","Data Início"
"Default Label","Legenda Padrão"
"Default Rule Label for All Store Views","Legenda para todas as visões"
"Delete Rule","Excluir"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Discount Amount","Valor do Desconto"
"Discount Qty Step (Buy X)","Qtd de Produtos (Compre X)"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Expire at: %s","Expira em: %s"
"Fixed amount discount","Valor Fixo"
"Fixed amount discount for whole cart","Valor Fixo para Todo Carrinho"
"For matching items only","Apenas para os produtos"
"For shipment with matching items","Para entrega com itens igual &agrave;"
"Free Shipping","Frete Grátis"
"From Date","Da Data"
"General Information","Informações Gerais"
"ID","ID"
"Inactive","Inativo"
"Labels","Legendas"
"Maximum Qty Discount is Applied To","Máx. de Produtos com Desconto"
"NOT LOGGED IN","QUALQUER UM"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"No","Não"
"No Coupon","Sem Cupom"
"Number of Uses","Número de Usos"
"Payment Method","Forma de Pagamento"
"Percent of product price discount","Valor Percentual %"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos de produto"
"Products subselection","Sub-seleção de Produtos"
"Promotions","Promoções"
"Public In RSS Feed","Publicar na Lista RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linhas no carrinho"
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Rule was successfully deleted","Regra foi excluída com sucesso"
"Rule was successfully saved","Regra foi salva com sucesso"
"Sales Discount Amount","Valor Desconto da Venda"
"Sales Subtotal Amount","Valor no Subtotal da Venda"
"Sales Total Amount","Valor Total da Venda"
"Save Rule","Salvar"
"Save and Continue Edit","Salvar e Continuar"
"Shipping Country","País de Entrega"
"Shipping Method","Forma de Entrega"
"Shipping Postcode","CEP Entrega"
"Shipping Region","Região Entrega"
"Shipping State/Province","Entrega Estado/Cidade"
"Shopping Cart Price Rule","Regras da Promoção"
"Shopping Cart Price Rules","Promoção de Carrinho"
"Shopping Cart Price Rules based on deleted attribute ""%s"" has been disabled.","Regra de Preço para Carrinho de Compras baseados no atributo excluído ""%s"" foi desativado."
"Special Price","Preço especial"
"Specific Coupon","Cupom Específico"
"Start at: %s","Iniciar em: %s"
"Status","Status"
"Stop Further Rules Processing","Aplicar Somente esta Regra"
"Store View Specific Labels","Legenda Específica por Visão"
"Subtotal","Subtotal"
"Subtotal Amount","Valor Subtotal"
"The rule has been deleted.","A regra foi excluída com sucesso."
"The rule has been saved.","A regra foi salva com sucesso."
"This rule no longer exists.","Esta regra não existe mais."
"To Date","Para Data"
"To Fixed Amount","Valor Fixo no Preço Final"
"To Fixed Value","Valor Fixo"
"To Percentage","Porcentagem"
"To Percentage of the Original Price","Valor Percentual % no Preço Final"
"Total","Total"
"Total Amount","Valor Total"
"Total Items Quantity","Quantidade de Itens Total"
"Total Weight","Peso Total"
"Unable to find a rule to delete.","Não foi possível encontrar a página para excluir"
"Update Prices Using the Following Information","Atualizar Preços Usando as Seguintes Informações"
"Update prices using the following information","Atualizar os Preços com as Informações Abaixo"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Update the Product","Atualizar o Produto"
"Uses per Coupon","Usos por cupom"
"Uses per Customer","Usos por cliente"
"Wrong rule specified.","Regra especificada errada."
"Yes","Sim"
