"# of Uses","# de Usuários"
"%s tag(s) have been accepted for moderation.","%s tag(s) precisam ser revisadas pelo moderador."
"<strong>Tag Name:</strong> %s","<strong>Nome Tag:</strong> %s"
"Action","Ação"
"Add New Tag","Criar Tag"
"Add Tags","Adicionar"
"Add Your Tags:","Minhas Tags:"
"Add to Cart","Comprar"
"Add to Wishlist","Adicionar aos Favoritos"
"All Tags","Todas Tags"
"Approved","Aprovado"
"Are you sure you want to delete this tag?","Tem certeza que deseja excluir esta tag?"
"Are you sure you want to do this?","Tem certeza de que deseja fazer isto?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Tags List","Voltar"
"Base Popularity","Base Popularidade"
"Block Information","Bloco de Informação"
"CSV","CSV"
"Change status","Alterar Status..."
"Click on a tag to view your corresponding products.","Clique na tag para ver os produtos correspondentes."
"Country","Pais"
"Customer My Account My Tags List","Cliente Minha Conta Minhas Tags Listar"
"Customer My Account Tag View","Cliente Minha Conta Tag Ver"
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes Enviaram esta Tag"
"Customers Tagged '%s'","Tags dos Clientes '%s'"
"Delete","Excluir"
"Delete Tag","Excluir"
"Disabled","Desaprovado"
"Edit Tag '%s'","Editar Tag '%s'"
"Email","Email"
"First Name","Nome"
"General Information","Informações Gerais"
"Grid","Tabela"
"ID","ID"
"Last Name","Sobrenome"
"List","Listar"
"Manage Tags","Gerenciar Tags"
"My Recent Tags","Marquei Recentemente"
"My Tags","Minhas Tags"
"Name","Nome"
"New Tag","Nova Tag"
"No matches found.","Nenhum resultado encontrado."
"Other people marked this product with these tags:","Tags adicionadas por outros clientes:"
"Pending","Pendente"
"Pending Tags","Tags Pendentes"
"Popular","Popular"
"Popular Tags","Tags Populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Produto Nome"
"Product SKU","Produto SKU"
"Product Tags","Tags do Produto"
"Products","Produtos"
"Products Tagged by Administrators","Tags dos Produtos por Administradores"
"Products Tagged by Customers","Tags dos Produtos por Clientes"
"Products Tagged with '%s'","Tags dos Produtos com '%s'"
"Products tagged with '%s'","Tags dos Produtos com '%s'"
"Rebuild Tag aggregation data","Reconstruir conexão de informações das Tags"
"SKU","SKU"
"Save Tag","Salvar"
"Save and Continue Edit","Salvar e Continuar"
"Search Terms","Termos de Busca"
"Status","Status"
"Store View","Visão"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" já existe para este produto."
"Tag ""%s"" has been added to the product.","Tag ""%s"" foi adicionada ao produto."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" já foi recusada pelo administrador."
"Tag Aggregation Data","Conexão de Informações das Tags"
"Tag Name","Nome da Tag"
"Tagged Products List","Lista de Tags por Produtos"
"Tags","Tags"
"Tags Aren't Available","Tags Não Disponíveis"
"Tags List (All Available)","Lista de Tags (Todos Disponíveis)"
"Tags:","Tags:"
"Telephone","Telefone"
"The tag has been deleted.","A tag foi excluída."
"There are no tags available.","Não há tags disponíveis."
"Unable to find any products tagged with '%s' in the current store","Não foi encontrado nenhum produto com estas tags '%s' na loja selecionada"
"Unable to remove tag. Please, try again later.","Não foi possível excluir a tag. Por favor, tente novamente."
"Unable to save tag(s).","Não foi possível salvar tag(s)."
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espaços para separar as Tags. E aspas simples (') para frases."
"Uses","Usos"
"View All Tags","Ver todos"
"View Customers","Ver Clientes"
"View Products","Ver Produtos"
"Visible In","Visível em"
"XML","XML"
"You have not tagged any products yet.","Você não marcou nenhuma tag ainda."
"Your tag was successfully deleted","Sua tag foi excluída com sucesso"
"ZIP/Post Code","CEP"
