"*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","*' - para todos; 'xyz*' - que começam com 'xyz' e no máximo %d caracteres."
"-- Please Select --","Selecione..."
"Add New Class","Criar Classe"
"Add New Tax Rate","Criar Cálculo"
"Add New Tax Rule","Criar Imposto"
"After Discount","Depois do Desconto"
"Apply Discounts To FPT","Aplicar FPT em Descontos"
"Apply Tax To FPT","Aplicar FPT em Impostos"
"Apply Customer Tax","Aplicar Imposto de Cliente"
"Apply Discount On Prices","Aplicar Desconto nos Preços"
"Apply Discount on Price Including Tax is calculated based on store tax, if 'Apply Tax after Discount' is selected.","O imposto aplicado em descontos é calculado com base no imposto da loja, se 'Aplicar imposto depois do desconto' for selecionado."
"Apply Tax On","Aplicar Imposto em"
"Are you sure you want to do this?","Tem certeza que deseja fazer isso?"
"Back","Voltar"
"Before Discount","Antes do Desconto"
"CSV","CSV"
"Calculation Settings","Configurações de Cálculo"
"Catalog Prices","Preços no Catálogo"
"Class Name","Nome"
"Code","Código"
"Country","País"
"County","Bairro"
"Custom price if available","Preço Personalizado se Existir"
"Customer Tax Class","Classe Cliente"
"Customer Tax Class Information","Informações de Classe de Cliente"
"Customer Tax Classes","Classe de Clientes"
"Default Country","País"
"Default Post Code","Cep"
"Default State","Estado"
"Default Tax Destination Calculation","Cálculo de Imposto Padrão para Destinos"
"Delete Class","Excluir"
"Delete Rate","Excluir"
"Delete Rule","Excluir"
"Display Prices In Emails","Preços nos Emails"
"Display Prices In Product Lists","Preço no Catálogo"
"Display Prices In Sales Modules","Preços nos Módulos de Vendas"
"Display Prices On Product View Page","Preço no Detalhe de Produto"
"Display Prices","Preço do Produto"
"Display Product Prices In Catalog","Preços no Catálogo"
"Display Shipping Amount","Valor de Entrega"
"Display Shipping Prices","Preços na Entrega"
"Display Subtotal","Subtotal do Carrinho"
"Display Zero Tax Subtotal","Imposto em Subtotal Zero"
"Display full tax summary","Resumo de Todo Imposto"
"Edit Class","Editar Classe"
"Edit Class '%s'","Editar Classe '%s'"
"Edit Rule","Editar Regra de Imposto"
"Edit Tax Rate","Editar Cálculo de Imposto"
"Enable FPT","Habilitar FPT"
"Error while deleting this class. Please try again later.","Erro ao excluir esta classe. Tente novamente."
"Error while deleting this rate. Incorrect rate ID","Erro ao excluir esta taxa. Id taxa incorreto"
"Error while deleting this rate. Please try again later.","Erro ao excluir taxa. Tente novamente."
"Error while deleting this tax rule. Please try again later.","Erro ao excluir regra de imposto. Tente novamente."
"Error while saving this rate. Please try again later.","Erro ao salvar taxa. Tente novamente."
