" was not delivered nor scanned"," não foi entregue nem digitalizado"
"1 Day Freight","1 Dia Frete"
"2 Day Freight","2 Dia Frete"
"2Day","2Dia"
"2nd Day Air","2nd Dia no Ar"
"2nd Day Air AM","2nd Dia no Ar AM"
"2nd Day Air AM Letter","2nd Dia no Ar AM Carta"
"2nd Day Air Letter","2nd Dia no Ar Carta"
"3 Day Freight","3 Dia Frete"
"3 Day Select","3 Dia Selecionar"
"Access ID","ID de Acesso"
"Access License Number","Número da licença de acesso"
"Account ID","ID da Conta"
"Account Number","Número da conta"
"Additional Protection Configuration Value","Configurar Valor Proteção Adicional"
"Additional Protection Enabled","Proteção Adicional Habilitado"
"Additional Protection Min Subtotal","Proteção Adicional Subtotal Mínimo"
"Additional Protection Value","Valor Proteção Adicional"
"Additional Protection Value Rounding Method","Valor Arredondado Método Proteção Adicional"
"All Services","Todos os Serviços"
"Allowed Methods","Métodos permitidos"
"Bound Printed Matter","Importância Impressa"
"Business Service Center","Centro de Serviço de Negócios"
"Calculate Handling Fee","Calcular valor de embalagem"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Não foi possível recuperar valores do frete"
"Commercial","Comercial"
"Configuration","Configuração"
"Container","Container"
"Customer Packaging","Embalagem do Cliente"
"DHL","DHL - Empresa de Logística"
"Debug","Debug"
"Default Package Height","Altura Padrão do Pacote"
"Default Package Length","Peso Padrão do Pacote"
"Default Package Width","Largura Padrão do Pacote"
"Delivered","Entregue"
"Destination type","Tipo de Destinatário"
"Development","Desenvolvimento"
"Displayed Error Message","Mostrado Mensagem de Erro"
"Domestic Shipment Days","Dias de Entrega Domésticos"
"Drop Box","Caixa Perdida"
"Dropoff","Devolução"
"Empty response","Sem resposta"
"Enable Negotiated Rates","Permitir Negociação de Taxas"
"Enabled","Habilitar"
"Enables/Disables SSL verification of Magento server by UPS","Habilitar/Desabilitar verificação SSL do servidor Magento por UPS"
"Error #%s : %s (%s)","Erro #%s : %s (%s)"
"Error #%s: %s","Erro #%s: %s"
"Europe First Priority","Primeira Prioridade Europa"
"Express","Expresso"
"Express 10:30 AM","Expresso 10:30 AM"
"Express Mail","Carta Expressa"
"Express Saturday","Sábado Expresso"
"Express Saver","Econômico Expresso"
"Failed to parse xml document: %s","Falha ao recuperar documento xml: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx Caixa de 10kg"
"FedEx 25kg Box","FedEx Caixa de 25kg"
"FedEx Box","FedEx Caixa"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pacote"
"FedEx Tube","FedEx Tubo"
"First Overnight","Primeira Noite"
"First-Class","Primeira Classe"
"Flat","Fixo"
"Flat-Rate Box","Taxa Fixa Caixa"
"Flat-Rate Envelope","Taxa Fixa Envelope"
"Free Method","Grátis"
"Free Shipping with Minimum Order Amount","Entrega grátis para valores acima de"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Ground","Região"
"Ground Commercial","Região Comercial"
"Ground Residential","Região Residencial"
"Handling Applied","Aplicar Empacotamento"
"Handling Fee","Taxa de Empacotamento"
"Home Delivery","Entrega em Domicílio"
"International Economy","Internacional Econômico"
"International Express","Internacional Expresso"
"International First","Internacional Primeiro"
"International Priority","Internacional Prioritário"
"International Shipment Days","Internacional Dias de Entrega"
"Intl Economy Freight","Intl Frete Econômico"
"Intl Priority Freight","Intl Frete Prioritário"
"Invalid DHL XML code for type %s: %s.","Código de XML do DHL inválido para o tipo %s: %s."
"Invalid DHL XML code type: %s.","Tipo de código inválido no XML do DHL: %s."
"Invalid FedEx XML code for type %s: %s","Tipo de código inválido para XML do FedEx %s: %s"
"Invalid FedEx XML code type: %s","Tipo de código inválido para FedEx: %s"
"Invalid UPS CGI code for type %s: %s","Tipo de código inválido para UPS CGI %s: %s"
"Invalid UPS CGI code type: %s","Tipo de código inválido para UPS CGI: %s"
"Invalid USPS XML code for type %s: %s","Tipo de código inválido para USPS XML %s: %s"
"Invalid USPS XML code type: %s","Tipo de código inválido USPS XML: %s"
"Kilograms","Kilogramas"
"Large","Largura"
"Letter","Carta"
"Library","Biblioteca"
"Live","Ao Vivo"
"Machinable","Maquinário"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso máximo do pacote (consulte seu sistema de entrega para saber o peso máximo permitido)"
"Media Mail","Media Mail"
"Minimum Order Amount for Free Shipping","Frete grátis a partir de"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Peso Mínimo do Pacote (Consulte seu transportador para saber o mínimo suportado para o peso da entrega)"
"Mode","Modo"
"Next Afternoon","Dia Seguinte"
"Next Day Air","Next Day Air"
