"%s","%s"
"-- Please Select --","Selecione..."
"Actions","Ações"
"Add Layout Update","Adicionar Atualização de Leiaute"
"Add New Widget Instance","Criar Widget"
"All","Todos"
"All Pages","Todas as Páginas"
"All Product Types","Todos os Tipos de Produtos"
"Anchor Categories","Linkar Categorias"
"Assign to Store Views","Atribuir a Visão"
"Big Image","Imagem Grande"
"Block Reference","Bloco de Referência"
"CMS","CMS"
"Categories","Categorias"
"Choose...","Escolha..."
"Close","Fechar"
"Continue","Continuar"
"Default Template","Modelo Padrão"
"Delete","Excluir"
"Design Package/Theme","Template"
"Export to:","Exportar para:"
"Frontend Properties","Propriedades de Frontend"
"Generic Pages","Páginas Genéricas"
"Images","Imagens"
"Insert Widget","Inserir Widget"
"Layout Updates","Atualizar Leiaute"
"Manage Widget Instances","Gerenciar Widgets"
"New Instance","Nova Instância"
"New Widget Instance","Novo Widget"
"Next page","Próxima página"
"Non-Anchor Categories","Não Linkar Categorias"
"Not Selected","Não Selecionado"
"Page","Página"
"Please Select Block Reference First","Por Favor Selecionar um Bloco de Referência Primeiro"
"Previous page","Página anterior"
"Products","Produtos"
"Remove Layout Update","Excluir Atualização de Leiaute"
"Save and Continue Edit","Salvar e Continuar"
"Select All","Marcar Todos"
"Select Visible","Marcar Visíveis"
"Settings","Configurações"
"Sort Order","Ordem"
"Sort Order of widget instances in the same block reference","Ordem de instância dos widget no mesmo bloco"
"Specific %s","Especificar %s"
"Specified Page","Página Especificada"
"Template","Template"
"The information in this tab has been changed.","A informação desta aba foi alterada."
"The widget instance has been deleted.","A instância do widget foi excluída."
"The widget instance has been saved.","A instância do widget foi salva com sucesso."
"This tab contains invalid data. Please solve the problem before saving.","Esta aba possui conteúdo inválido. Por favor resolva o problema antes de salvar."
"Thumbnail","Miniatura"
"Total %d records found","Total %d registros encontrados"
"Type","Tipo"
"Unselect All","Desmarcar Todos"
"Unselect Visible","Desmarcar Visíveis"
"View","Visualizar"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID"
"Widget Instance","Novo Widget"
"Widget Instance Title","Título"
"Widget Options","Opções de Widget"
"Widget Type","Tipo de Widget"
"Widget Type is not specified","Tipo de Widget não foi especificado"
"Widget instance has been successfully deleted.","Instância de Widget foi excluído com sucesso."
"Widget instance has been successfully saved.","Instância de Widget foi salvo com sucesso."
"Widget instance is not full complete to create.","Instância de Widget não foi completada para criação."
"Widgets","Widgets"
"Wrong wigdet instance specified.","Instância especificada de widget errada."
"items selected","itens selecionados"
"of %s pages","de %s páginas"
"per page","por página"
